,date,year,mmwr_week,total,total_sqrt,total_sqrt_norm,total_detrend
0,2006-01-31,10030,15,49,7.0,1.4074498476795416,0.33183637332824384
1,2006-02-28,8024,30,56,7.483314773547883,1.6861583995668161,0.9328430607760768
2,2006-03-31,8024,46,74,8.602325267042627,2.331447580154395,2.447339059466093
3,2006-04-30,10030,80,71,8.426149773176359,2.2298541270657353,2.217900918511942
4,2006-05-31,8024,82,46,6.782329983125268,1.2819281410966892,0.1614841550734258
5,2006-06-30,8024,98,43,6.557438524302,1.1522421139960923,-0.06795398588072545
6,2006-07-31,10030,145,41,6.4031242374328485,1.063255156049197,-0.21434764399467768
7,2006-08-31,8024,134,30,5.477225575051661,0.5293259457080627,-1.1081416476704162
8,2006-09-30,8024,150,32,5.656854249492381,0.632910711725656,-0.9223573744235749
9,2006-10-31,10030,210,34,5.830951894845301,0.7333059515961572,-0.736573101176734
10,2006-11-30,10030,234,55,7.416198487095663,1.6474550864695672,1.0270563460338775
11,2006-12-31,10031,203,52,7.211102550927978,1.5291843558903018,0.7976182050797261
12,2007-01-31,8028,14,36,6.0,0.8307893209562419,-0.5113982127970046
13,2007-02-28,8028,30,49,7.0,1.4074498476795416,0.5878753716920195
14,2007-03-31,8028,46,58,7.615773105863909,1.7625418912490656,1.3549710248202493
15,2007-04-30,10035,80,69,8.306623862918075,2.1609282526991116,2.2881556436288766
16,2007-05-31,8028,82,41,6.4031242374328485,1.063255156049197,-0.017394568330235227
17,2007-06-30,8028,98,37,6.082762530298219,0.878515205270966,-0.32987719212458433
18,2007-07-31,10035,145,44,6.6332495807108,1.1959593577162404,0.27112949532324865
19,2007-08-31,8028,134,40,6.324555320336759,1.0179475629324866,-0.04135312847110044
20,2007-09-30,10035,190,39,6.244997998398398,0.9720699957588164,-0.10470230374485485
21,2007-10-31,8028,170,34,5.830951894845301,0.7333059515961572,-0.5002294103794029
22,2007-11-30,8028,186,30,5.477225575051661,0.5293259457080627,-0.812712034173752
23,2007-12-31,10036,203,35,5.916079783099616,0.782395844475733,-0.3777943124063159
24,2008-01-31,8032,14,0,0.0,-2.629173839383557,-3.264655904246816
25,2008-02-29,8032,30,47,6.855654600401044,1.3242115535167225,0.6581300968089537
26,2008-03-31,10040,60,101,10.04987562112089,3.1661927297956654,5.162227477746113
27,2008-04-30,8032,66,40,6.324555320336759,1.0179475629324866,0.1162093320604534
28,2008-05-31,8032,82,48,6.928203230275509,1.3660474846331851,0.8002605023484853
29,2008-06-30,10040,125,52,7.211102550927978,1.5291843558903018,1.152133741275723
30,2008-07-31,8032,118,38,6.164414002968976,0.9256003865090178,0.009206289079389186
31,2008-08-31,10040,170,30,5.477225575051661,0.5293259457080627,-0.6354542660757536
32,2008-09-30,8032,154,33,5.744562646538029,0.6834886821640558,-0.3666255099887143
33,2008-10-31,8032,170,20,4.47213595499958,-0.05026956399529201,-1.4265084793448493
34,2008-11-30,10040,235,40,6.324555320336759,1.0179475629324866,0.25407648502556324
35,2008-12-31,8032,206,24,4.898979485566356,0.19587425116977805,-1.0549399328511668
36,2009-01-31,8036,10,28,5.291502622129181,0.42222684985117886,-0.7030666939239292
37,2009-02-28,8036,26,39,6.244997998398398,0.9720699957588164,0.23011792488469804
38,2009-03-31,10045,55,67,8.18535277187245,2.0909960014604323,2.5750587519766976
39,2009-04-30,8036,62,38,6.164414002968976,0.9256003865090178,0.18646405717738762
40,2009-05-31,10045,100,49,7.0,1.4074498476795416,1.119648675986015
41,2009-06-30,8036,98,24,4.898979485566356,0.19587425116977805,-0.9367680874525011
42,2009-07-31,8036,114,46,6.782329983125268,1.2819281410966892,0.9099058425983082
43,2009-08-31,10045,165,33,5.744562646538029,0.6834886821640558,-0.14997712675782726
44,2009-09-30,8036,150,25,5.0,0.25412879423294205,-0.79463768191297
45,2009-10-31,8036,166,23,4.795831523312719,0.13639289292616089,-0.9410313400269228
46,2009-11-30,10045,230,58,7.615773105863909,1.7625418912490656,1.9852208669464664
47,2009-12-31,8036,202,54,7.3484692283495345,1.608398296446446,1.6727382431521167
48,2010-01-31,10050,15,33,5.744562646538029,0.6834886821640558,-0.05150058892560602
49,2010-02-28,8040,30,31,5.5677643628300215,0.581536090757221,-0.19789424703955827
50,2010-03-31,8040,46,55,7.416198487095663,1.6474550864695672,1.8148686486916483
51,2010-04-30,8040,62,28,5.291502622129181,0.42222684985117886,-0.40763708042726493
52,2010-05-31,10050,100,44,6.6332495807108,1.1959593577162404,0.9407699525823539
53,2010-06-30,8040,98,26,5.0990195135927845,0.3112294390972421,-0.5343354309747731
54,2010-07-31,8040,114,21,4.58257569495584,0.01341667461906927,-0.9298625376093212
55,2010-08-31,10050,165,29,5.385164807134504,0.47623813479040317,-0.24581136732128928
56,2010-09-30,8040,150,23,4.795831523312719,0.13639289292616089,-0.7243829567960358
57,2010-10-31,10050,210,38,6.164414002968976,0.9256003865090178,0.5409795933733849
58,2010-11-30,8040,186,33,5.744562646538029,0.6834886821640558,0.145452486738837
59,2010-12-31,8040,202,25,5.0,0.25412879423294205,-0.49920806841630605
60,2011-01-31,10055,15,44,6.6332495807108,1.1959593577162404,1.0983324131139083
61,2011-02-28,8044,30,39,6.244997998398398,0.9720699957588164,0.7028053064793605
62,2011-03-31,8044,46,28,5.291502622129181,0.42222684985117886,-0.19098869719637787
63,2011-04-30,8044,62,43,6.557438524302,1.1522421139960923,1.0743738529730424
64,2011-05-31,10055,100,33,5.744562646538029,0.6834886821640558,0.26362433213750286
65,2011-06-30,8044,98,29,5.385164807134504,0.47623813479040317,-0.048858291656846825
66,2011-07-31,10055,145,31,5.5677643628300215,0.581536090757221,0.1369259815899946
67,2011-08-31,8044,134,7,2.6457513110645907,-1.103473494766189,-1.8364462990083235
68,2011-09-30,8044,150,12,3.4641016151377544,-0.631563177375186,-1.401528577240887
69,2011-10-31,10055,210,20,4.47213595499958,-0.05026956399529201,-0.7174774069528553
70,2011-11-30,8044,186,15,3.872983346207417,-0.3957772229690197,-1.1130045135874032
71,2011-12-31,8044,202,23,4.795831523312719,0.13639289292616089,-0.4289533432993715
72,2012-01-31,10060,15,23,4.795831523312719,0.13639289292616089,-0.40925803573292724
73,2012-02-29,8048,30,22,4.69041575982343,0.07560378322748848,-0.47260721100668135
74,2012-03-31,8048,46,27,5.196152422706632,0.3672421536289998,-0.03768948923924522
75,2012-04-30,10060,80,23,4.795831523312719,0.13639289292616089,-0.3501721130335946
76,2012-05-31,8048,82,23,4.795831523312719,0.13639289292616089,-0.3304768054671503
77,2012-06-30,8048,98,19,4.358898943540674,-0.11556887866775686,-0.6429594292614996
78,2012-07-31,10060,145,18,4.242640687119285,-0.18261042605164762,-0.7063086045352538
79,2012-08-31,8048,134,12,3.4641016151377544,-0.631563177375186,-1.18488019401
80,2012-09-30,10060,190,13,3.605551275463989,-0.5499947417466275,-1.0821404036033573
81,2012-10-31,8048,170,10,3.1622776601683795,-0.8056131382255352,-1.3115785445575083
82,2012-11-30,8048,186,14,3.7416573867739413,-0.4715077199083705,-0.9597053056302702
83,2012-12-31,10061,203,23,4.795831523312719,0.13639289292616089,-0.19260965250204015
84,2013-01-31,8052,14,25,5.0,0.25412879423294205,-0.006825379255199309
85,2013-02-28,8052,30,25,5.0,0.25412879423294205,0.012869928311244996
86,2013-03-31,10065,60,33,5.744562646538029,0.6834886821640558,0.6969210985992766
87,2013-04-30,8052,66,29,5.385164807134504,0.47623813479040317,0.38443847480492727
88,2013-05-31,8052,82,15,3.872983346207417,-0.3957772229690197,-0.7584889773914063
89,2013-06-30,10065,125,10,3.1622776601683795,-0.8056131382255352,-1.1540160840259541
90,2013-07-31,8052,118,14,3.7416573867739413,-0.4715077199083705,-0.8021428450987161
91,2013-08-31,8052,134,13,3.605551275463989,-0.5499947417466275,-0.8654920203724702
92,2013-09-30,10065,190,17,4.123105625617661,-0.25154157757907625,-0.5136187814452322
93,2013-10-31,8052,170,11,3.3166247903554,-0.7166072408336583,-0.9921903709199784
94,2013-11-30,8052,186,25,5.0,0.25412879423294205,0.19012769640924343
95,2013-12-31,10066,203,21,4.58257569495584,0.01341667461906927,-0.12235492738510594
96,2014-01-31,8056,14,18,4.242640687119285,-0.18261042605164762,-0.3517930683392569
97,2014-02-28,8056,30,24,4.898979485566356,0.19587425116977805,0.16616913626837793
98,2014-03-31,10070,60,21,4.58257569495584,0.01341667461906927,-0.06326900468577303
99,2014-04-30,8056,66,16,4.0,-0.32253173249035777,-0.45879611132032083
100,2014-05-31,8056,82,15,3.872983346207417,-0.3957772229690197,-0.5221452865940749
101,2014-06-30,10070,125,18,4.242640687119285,-0.18261042605164762,-0.25331653050703534
102,2014-07-31,8056,118,6,2.449489742783178,-1.2166497941068894,-1.230155017022972
103,2014-08-31,10070,170,14,3.7416573867739413,-0.4715077199083705,-0.5461038467349404
104,2014-09-30,8056,154,12,3.4641016151377544,-0.631563177375186,-0.6924975048488933
105,2014-10-31,8056,170,12,3.4641016151377544,-0.631563177375186,-0.6728021972824489
