,year,mmwr_week,Reporting Area,Meningococcal Disease cummulative for 2002,Meningococcal Disease cummulative for 2001,Mumps cummulative for 2002,Mumps cummulative for 2001,Pertussis cummulative for 2002,Pertussis cummulative for 2001,"Rabies, Animal cummulative for 2002","Rabies, Animal cummulative for 2001"
15,2002,1,UNITED STATES,0,32,0,3,0,52,0,143
16,2002,1,NEW ENGLAND,0,5,0,0,0,21,0,5
17,2002,1,Maine,0,0,0,0,0,0,0,0
18,2002,1,N.H.,0,0,0,0,0,0,0,0
19,2002,1,Vt.,0,0,0,0,0,6,0,3
20,2002,1,Mass.,0,5,0,0,0,15,0,2
21,2002,1,R.I.,0,0,0,0,0,0,0,0
22,2002,1,Conn.,0,0,0,0,0,0,0,0
23,2002,1,MID. ATLANTIC,0,5,0,0,0,0,0,7
24,2002,1,Upstate N.Y.,0,1,0,0,0,0,0,6
25,2002,1,N.Y. City,0,2,0,0,0,0,0,0
26,2002,1,N.J.,0,2,0,0,0,0,0,1
27,2002,1,Pa.,0,0,0,0,0,0,0,0
28,2002,1,E.N. CENTRAL,0,7,0,0,0,9,0,1
29,2002,1,Ohio,0,1,0,0,0,2,0,0
30,2002,1,Ind.,0,0,0,0,0,0,0,0
31,2002,1,Ill.,0,2,0,0,0,0,0,0
32,2002,1,Mich.,0,2,0,0,0,2,0,0
33,2002,1,Wis.,0,2,0,0,0,5,0,1
34,2002,1,W.N. CENTRAL,0,1,0,0,0,2,0,4
35,2002,1,Minn.,0,0,0,0,0,0,0,2
36,2002,1,Iowa,0,0,0,0,0,0,0,1
37,2002,1,Mo.,0,1,0,0,0,1,0,1
38,2002,1,N. Dak.,0,0,0,0,0,0,0,0
39,2002,1,S. Dak.,0,0,0,0,0,0,0,0
40,2002,1,Nebr.,0,0,0,0,0,0,0,0
41,2002,1,Kans.,0,0,0,0,0,1,0,0
42,2002,1,S. ATLANTIC,0,2,0,0,0,0,0,1
43,2002,1,Del.,0,0,0,0,0,0,0,0
44,2002,1,Md.,0,2,0,0,0,0,0,0
45,2002,1,D.C.,0,0,0,0,0,0,0,0
