,year,mmwr_week,Reporting Area,Malaria cummulative for 2003,Malaria cummulative for 2002,Meningococcal Disease cummulative for 2003,Meningococcal Disease cummulative for 2002,Pertussis cummulative for 2003,Pertussis cummulative for 2002,"Rabies, Animal cummulative for 2003","Rabies, Animal cummulative for 2002",Rocky Mountain Spotted Fever cummulative for 2003,Rocky Mountain Spotted Fever cummulative for 2002
17,2003,1,UNITED STATES,11,26,25,50,68,129,59,212,5,8
18,2003,1,NEW ENGLAND,1,3,1,4,6,48,7,8,0,0
19,2003,1,Maine,1,0,0,0,0,0,0,0,0,0
20,2003,1,N.H.,0,1,0,0,0,0,0,0,0,0
21,2003,1,Vt.,0,0,0,1,6,11,2,2,0,0
22,2003,1,Mass.,0,2,0,3,0,34,0,2,0,0
23,2003,1,R.I.,0,0,0,0,0,0,0,1,0,0
24,2003,1,Conn.,0,0,1,0,0,3,5,3,0,0
25,2003,1,MID. ATLANTIC,0,7,0,5,0,2,8,20,0,1
26,2003,1,Upstate N.Y.,0,0,0,2,0,0,8,14,0,0
27,2003,1,N.Y. City,0,4,0,1,0,2,0,0,0,0
28,2003,1,N.J.,0,2,0,1,0,0,0,4,0,0
29,2003,1,Pa.,0,1,0,1,0,0,0,2,0,1
30,2003,1,E.N. CENTRAL,2,0,4,11,8,21,0,1,0,1
31,2003,1,Ohio,1,0,2,8,6,4,0,0,0,1
32,2003,1,Ind.,0,0,1,0,0,0,0,1,0,0
33,2003,1,Ill.,0,0,0,0,0,8,0,0,0,0
34,2003,1,Mich.,1,0,1,1,2,1,0,0,0,0
35,2003,1,Wis.,0,0,0,2,0,8,0,0,0,0
36,2003,1,W.N. CENTRAL,1,2,4,2,8,13,8,15,0,0
37,2003,1,Minn.,0,0,1,0,0,0,0,0,0,0
38,2003,1,Iowa,1,1,2,0,0,9,0,2,0,0
39,2003,1,Mo.,0,1,1,1,5,4,0,0,0,0
40,2003,1,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2003,1,S. Dak.,0,0,0,1,0,0,0,7,0,0
42,2003,1,Nebr.,0,0,0,0,0,0,0,0,0,0
43,2003,1,Kans.,0,0,0,0,3,0,8,6,0,0
44,2003,1,S. ATLANTIC,7,3,12,8,24,3,30,27,5,6
45,2003,1,Del.,0,0,0,0,0,1,0,0,0,0
46,2003,1,Md.,2,1,2,0,4,2,2,10,2,1
47,2003,1,D.C.,0,1,0,0,0,0,0,0,0,0
48,2003,1,Va.,0,0,0,0,0,0,8,4,0,0
49,2003,1,W. Va.,0,0,0,0,0,0,1,3,0,0
50,2003,1,N.C.,0,1,1,1,6,0,16,10,3,5
51,2003,1,S.C.,0,0,0,0,0,0,2,0,0,0
52,2003,1,Ga.,1,0,1,3,13,0,0,0,0,0
53,2003,1,Fla.,4,0,8,4,1,0,1,0,0,0
54,2003,1,E.S. CENTRAL,0,1,3,0,2,8,1,108,0,0
55,2003,1,Ky.,0,0,0,0,0,0,0,0,0,0
56,2003,1,Tenn.,0,0,1,0,0,1,0,108,0,0
57,2003,1,Ala.,0,0,2,0,2,1,1,0,0,0
58,2003,1,Miss.,0,1,0,0,0,6,0,0,0,0
59,2003,1,W.S. CENTRAL,0,0,0,8,0,6,1,23,0,0
60,2003,1,Ark.,0,0,0,1,0,5,0,0,0,0
61,2003,1,La.,0,0,0,1,0,0,0,0,0,0
62,2003,1,Okla.,0,0,0,0,0,1,1,3,0,0
63,2003,1,Tex.,0,0,0,6,0,0,0,20,0,0
64,2003,1,MOUNTAIN,0,0,1,3,20,19,4,4,0,0
65,2003,1,Mont.,0,0,0,0,0,0,1,0,0,0
66,2003,1,Idaho,0,0,0,0,0,4,0,0,0,0
67,2003,1,Wyo.,0,0,0,0,0,0,0,0,0,0
68,2003,1,Colo.,0,0,0,1,10,10,0,0,0,0
69,2003,1,N. Mex.,0,0,0,0,0,4,0,0,0,0
70,2003,1,Ariz.,0,0,1,0,10,0,3,4,0,0
71,2003,1,Utah,0,0,0,0,0,0,0,0,0,0
72,2003,1,Nev.,0,0,0,2,0,1,0,0,0,0
73,2003,1,PACIFIC,0,10,0,9,0,9,0,6,0,0
74,2003,1,Wash.,0,0,0,0,0,0,0,0,0,0
75,2003,1,Oreg.,0,0,0,4,0,0,0,0,0,0
76,2003,1,Calif.,0,8,0,5,0,8,0,4,0,0
77,2003,1,Alaska,0,0,0,0,0,0,0,2,0,0
78,2003,1,Hawaii,0,2,0,0,0,1,0,0,0,0
79,2003,1,Guam,0,0,0,0,0,0,0,0,0,0
80,2003,1,P.R.,0,0,0,0,0,0,0,3,0,0
81,2003,1,V.I.,0,0,0,0,0,0,0,0,0,0
82,2003,1,Amer. Samoa,U,U,U,U,U,U,U,U,U,U
83,2003,1,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2003,2,UNITED STATES,11,26,25,50,68,129,59,212,5,8
18,2003,2,NEW ENGLAND,1,3,1,4,6,48,7,8,0,0
19,2003,2,Maine,1,0,0,0,0,0,0,0,0,0
20,2003,2,N.H.,0,1,0,0,0,0,0,0,0,0
21,2003,2,Vt.,0,0,0,1,6,11,2,2,0,0
22,2003,2,Mass.,0,2,0,3,0,34,0,2,0,0
23,2003,2,R.I.,0,0,0,0,0,0,0,1,0,0
24,2003,2,Conn.,0,0,1,0,0,3,5,3,0,0
