,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
17,2005,1,UNITED STATES,7,59,0,1,0,0,0,0,0,0
18,2005,1,NEW ENGLAND,1,3,0,0,0,0,0,0,0,0
19,2005,1,Maine,0,0,0,0,0,0,0,0,0,0
20,2005,1,N.H.,0,0,0,0,0,0,0,0,0,0
21,2005,1,Vt.,1,0,0,0,0,0,0,0,0,0
22,2005,1,Mass.,0,3,0,0,0,0,0,0,0,0
23,2005,1,R.I.,0,0,0,0,0,0,0,0,0,0
24,2005,1,Conn.,0,0,0,0,0,0,0,0,0,0
25,2005,1,MID. ATLANTIC,0,5,0,0,0,0,0,0,0,0
26,2005,1,Upstate N.Y.,0,2,0,0,0,0,0,0,0,0
27,2005,1,N.Y. City,0,1,0,0,0,0,0,0,0,0
28,2005,1,N.J.,0,2,0,0,0,0,0,0,0,0
29,2005,1,Pa.,0,0,0,0,0,0,0,0,0,0
30,2005,1,E.N. CENTRAL,1,11,0,1,0,0,0,0,0,0
31,2005,1,Ohio,1,6,0,0,0,0,0,0,0,0
32,2005,1,Ind.,0,0,0,0,0,0,0,0,0,0
33,2005,1,Ill.,0,0,0,0,0,0,0,0,0,0
34,2005,1,Mich.,0,5,0,1,0,0,0,0,0,0
35,2005,1,Wis.,0,0,0,0,0,0,0,0,0,0
36,2005,1,W.N. CENTRAL,0,2,0,0,0,0,0,0,0,0
37,2005,1,Minn.,0,0,0,0,0,0,0,0,0,0
38,2005,1,Iowa,0,0,0,0,0,0,0,0,0,0
39,2005,1,Mo.,0,1,0,0,0,0,0,0,0,0
40,2005,1,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,1,S. Dak.,0,0,0,0,0,0,0,0,0,0
42,2005,1,Nebr.,0,0,0,0,0,0,0,0,0,0
43,2005,1,Kans.,0,1,0,0,0,0,0,0,0,0
44,2005,1,S. ATLANTIC,3,10,0,0,0,0,0,0,0,0
45,2005,1,Del.,0,0,0,0,0,0,0,0,0,0
46,2005,1,Md.,0,2,0,0,0,0,0,0,0,0
47,2005,1,D.C.,0,0,0,0,0,0,0,0,0,0
48,2005,1,Va.,0,0,0,0,0,0,0,0,0,0
49,2005,1,W. Va.,0,0,0,0,0,0,0,0,0,0
50,2005,1,N.C.,1,0,0,0,0,0,0,0,0,0
51,2005,1,S.C.,0,0,0,0,0,0,0,0,0,0
52,2005,1,Ga.,0,2,0,0,0,0,0,0,0,0
53,2005,1,Fla.,2,6,0,0,0,0,0,0,0,0
54,2005,1,E.S. CENTRAL,0,3,0,0,0,0,0,0,0,0
55,2005,1,Ky.,0,0,0,0,0,0,0,0,0,0
56,2005,1,Tenn.,0,2,0,0,0,0,0,0,0,0
57,2005,1,Ala.,0,1,0,0,0,0,0,0,0,0
