,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
22,2006,1,UNITED STATES,5,20,46,5,21,5,12,27,5,16,49,416,588,49,391
23,2006,1,NEW ENGLAND,0,1,5,0,3,0,0,2,0,2,1,26,43,1,35
24,2006,1,Conn.,0,0,3,0,0,0,0,2,0,0,0,1,4,0,3
25,2006,1,Maine,0,0,1,0,0,0,0,1,0,0,0,0,5,0,2
26,2006,1,Mass.,0,0,3,0,2,0,0,2,0,1,1,19,36,1,28
27,2006,1,N.H.,0,0,2,0,0,0,0,2,0,0,0,1,15,0,0
28,2006,1,R.I.,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
29,2006,1,Vt.,0,0,1,0,1,0,0,1,0,1,0,1,24,0,2
30,2006,1,MID. ATLANTIC,1,3,8,1,1,1,2,6,1,1,8,24,47,8,30
31,2006,1,N.J.,0,0,4,0,0,0,0,4,0,0,0,4,9,0,7
32,2006,1,N.Y. (Upstate),0,1,3,0,0,0,0,2,0,0,0,11,28,0,4
33,2006,1,N.Y. City,0,0,2,0,1,0,0,2,0,1,0,2,6,0,3
34,2006,1,Pa.,1,1,3,1,0,1,1,3,1,0,8,7,28,8,16
35,2006,1,E.N. CENTRAL,1,2,8,1,2,1,1,6,1,2,14,63,144,14,95
36,2006,1,Ill.,0,0,4,0,0,0,0,4,0,0,0,15,30,0,4
37,2006,1,Ind.,0,0,3,0,0,0,0,2,0,0,0,6,23,0,0
38,2006,1,Mich.,0,1,3,0,1,0,0,3,0,1,0,4,26,0,8
39,2006,1,Ohio,1,1,5,1,1,1,0,4,1,1,14,20,59,14,62
