,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2007,Lyme disease cummulative for 2006,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2007,Malaria cummulative for 2006,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2007","Meningococcal diseases, invasive �, all serogroups cummulative for 2006"
22,2007,1,UNITED STATES,19,219,996,19,71,6,25,39,6,17,6,20,45,6,27
23,2007,1,NEW ENGLAND,0,18,260,0,4,0,0,6,0,0,0,1,3,0,1
24,2007,1,Conn.,0,8,227,0,0,0,0,3,0,0,0,0,2,0,0
25,2007,1,Maine,0,2,34,0,2,0,0,1,0,0,0,0,2,0,1
26,2007,1,Mass.,0,0,3,0,2,0,0,3,0,0,0,0,2,0,0
27,2007,1,N.H.,0,3,95,0,0,0,0,3,0,0,0,0,2,0,0
28,2007,1,R.I.,0,0,93,0,0,0,0,1,0,0,0,0,1,0,0
29,2007,1,Vt.,0,1,15,0,0,0,0,1,0,0,0,0,1,0,0
30,2007,1,MID. ATLANTIC,16,131,556,16,43,1,5,13,1,4,0,3,11,0,5
31,2007,1,N.J.,0,27,184,0,16,0,0,3,0,2,0,0,2,0,0
32,2007,1,N.Y. (Upstate),16,59,250,16,1,1,1,7,1,0,0,0,4,0,0
33,2007,1,N.Y. City,0,0,18,0,0,0,3,9,0,1,0,1,4,0,2
34,2007,1,Pa.,0,36,231,0,26,0,1,4,0,1,0,0,4,0,3
35,2007,1,E.N. CENTRAL,0,10,151,0,4,1,2,7,1,4,2,2,12,2,7
36,2007,1,Ill.,0,0,0,0,0,0,1,5,0,2,0,0,4,0,4
37,2007,1,Ind.,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0
38,2007,1,Mich.,0,1,5,0,0,0,0,2,0,0,0,0,3,0,1
39,2007,1,Ohio,0,1,5,0,1,1,0,3,1,0,2,1,4,2,1
40,2007,1,Wis.,0,10,147,0,3,0,0,2,0,2,0,0,2,0,1
41,2007,1,W.N. CENTRAL,1,5,169,1,0,0,0,14,0,2,0,1,4,0,1
42,2007,1,Iowa,0,1,8,0,0,0,0,1,0,0,0,0,2,0,0
43,2007,1,Kans.,1,0,2,1,0,0,0,2,0,0,0,0,1,0,0
44,2007,1,Minn.,0,2,167,0,0,0,0,12,0,0,0,0,3,0,0
45,2007,1,Mo.,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0
46,2007,1,Nebr.,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1
47,2007,1,N. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
48,2007,1,S. Dak.,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
49,2007,1,S. ATLANTIC,0,29,117,0,20,2,6,14,2,4,2,4,14,2,1
50,2007,1,Del.,0,7,28,0,5,0,0,1,0,0,0,0,1,0,0
51,2007,1,D.C.,0,0,7,0,1,0,0,2,0,0,0,0,1,0,0
52,2007,1,Fla.,0,1,5,0,0,2,1,4,2,1,1,2,7,1,1
53,2007,1,Ga.,0,0,1,0,0,0,2,6,0,3,1,0,3,1,0
54,2007,1,Md.,0,13,74,0,12,0,1,5,0,0,0,0,2,0,0
55,2007,1,N.C.,0,0,4,0,2,0,0,4,0,0,0,0,11,0,0
56,2007,1,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
57,2007,1,Va.,0,4,29,0,0,0,1,4,0,0,0,0,4,0,0
58,2007,1,W. Va.,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
59,2007,1,E.S. CENTRAL,0,0,3,0,0,0,0,3,0,0,0,1,3,0,0
60,2007,1,Ala.,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
61,2007,1,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
62,2007,1,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
63,2007,1,Tenn.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
64,2007,1,W.S. CENTRAL,0,0,3,0,0,0,1,7,0,0,0,1,4,0,1
65,2007,1,Ark.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
66,2007,1,La.,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
67,2007,1,Okla.,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
68,2007,1,Tex.,0,0,3,0,0,0,1,6,0,0,0,0,3,0,0
69,2007,1,MOUNTAIN,0,0,3,0,0,0,1,6,0,0,0,1,5,0,3
70,2007,1,Ariz.,0,0,2,0,0,0,0,3,0,0,0,0,3,0,1
71,2007,1,Colo.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1
72,2007,1,Idaho,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
73,2007,1,Mont.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,2007,1,Nev.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
75,2007,1,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
76,2007,1,Utah,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1
77,2007,1,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
78,2007,1,PACIFIC,2,3,10,2,0,2,4,13,2,3,2,5,16,2,8
79,2007,1,Alaska,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0
80,2007,1,Calif.,2,3,8,2,0,0,3,8,0,2,2,3,10,2,1
81,2007,1,Hawaii,N,0,0,N,N,0,0,2,0,0,0,0,2,0,0
82,2007,1,Oreg.,0,0,2,0,0,2,0,2,2,0,0,0,7,0,7
83,2007,1,Wash.,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0
84,2007,1,Amer. Samoa,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
85,2007,1,C.N.M.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
86,2007,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2007,1,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2007,1,V.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
22,2007,2,UNITED STATES,27,230,"1,000",58,145,3,25,39,11,34,5,20,45,17,46
23,2007,2,NEW ENGLAND,2,18,260,2,7,0,0,6,0,2,0,1,3,0,2
24,2007,2,Conn.,1,8,227,1,0,0,0,3,0,0,0,0,2,0,0
25,2007,2,Maine,0,1,34,0,3,0,0,1,0,0,0,0,2,0,2
26,2007,2,Mass.,0,0,3,0,4,0,0,3,0,2,0,0,2,0,0
27,2007,2,N.H.,0,3,95,0,0,0,0,3,0,0,0,0,2,0,0
28,2007,2,R.I.,0,0,93,0,0,0,0,1,0,0,0,0,1,0,0
29,2007,2,Vt.,1,1,15,1,0,0,0,1,0,0,0,0,1,0,0
30,2007,2,MID. ATLANTIC,5,139,556,21,93,0,5,13,1,8,0,3,11,0,8
31,2007,2,N.J.,1,27,185,1,35,0,0,3,0,4,0,0,2,0,0
32,2007,2,N.Y. (Upstate),4,59,250,20,4,0,1,7,1,0,0,0,4,0,0
33,2007,2,N.Y. City,0,0,18,0,0,0,3,9,0,3,0,1,4,0,5
34,2007,2,Pa.,0,36,231,0,54,0,1,4,0,1,0,0,4,0,3
35,2007,2,E.N. CENTRAL,0,11,153,1,10,0,2,7,2,6,0,2,12,2,10
36,2007,2,Ill.,0,0,0,0,0,0,1,5,1,4,0,0,3,0,5
37,2007,2,Ind.,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0
38,2007,2,Mich.,0,1,5,1,1,0,0,2,0,0,0,0,3,0,1
39,2007,2,Ohio,0,1,5,0,2,0,0,3,1,0,0,1,4,2,2
40,2007,2,Wis.,0,10,149,0,7,0,0,2,0,2,0,0,2,0,2
41,2007,2,W.N. CENTRAL,0,5,169,1,0,0,0,14,0,2,1,1,4,3,1
42,2007,2,Iowa,0,1,8,0,0,0,0,1,0,0,0,0,2,0,0
43,2007,2,Kans.,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0
44,2007,2,Minn.,0,2,167,0,0,0,0,12,0,0,0,0,3,0,0
45,2007,2,Mo.,0,0,2,0,0,0,0,1,0,1,1,0,2,3,0
46,2007,2,Nebr.,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1
47,2007,2,N. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
48,2007,2,S. Dak.,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
49,2007,2,S. ATLANTIC,20,31,121,31,34,3,6,14,6,8,2,4,14,5,2
50,2007,2,Del.,2,7,28,10,7,0,0,1,0,0,0,0,1,0,1
51,2007,2,D.C.,0,0,7,0,1,0,0,2,0,0,0,0,1,0,0
52,2007,2,Fla.,2,1,5,2,0,0,1,4,2,2,2,2,7,3,1
53,2007,2,Ga.,0,0,1,0,1,1,2,6,2,5,0,0,3,2,0
54,2007,2,Md.,16,15,78,19,23,2,1,5,2,1,0,0,2,0,0
55,2007,2,N.C.,0,0,4,0,2,0,0,4,0,0,0,0,11,0,0
56,2007,2,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
57,2007,2,Va.,0,4,29,0,0,0,1,4,0,0,0,0,4,0,0
58,2007,2,W. Va.,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0
59,2007,2,E.S. CENTRAL,0,0,3,0,0,0,0,3,0,1,0,1,3,1,0
60,2007,2,Ala.,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0
61,2007,2,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
62,2007,2,Miss.,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
63,2007,2,Tenn.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
64,2007,2,W.S. CENTRAL,0,0,3,0,0,0,1,7,0,1,1,1,4,1,1
65,2007,2,Ark.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
66,2007,2,La.,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
67,2007,2,Okla.,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
68,2007,2,Tex.,0,0,3,0,0,0,1,6,0,1,1,0,3,1,0
69,2007,2,MOUNTAIN,0,0,3,0,0,0,1,6,0,2,0,1,5,0,6
70,2007,2,Ariz.,0,0,2,0,0,0,0,3,0,1,0,0,3,0,1
71,2007,2,Colo.,0,0,1,0,0,0,0,2,0,1,0,0,2,0,3
72,2007,2,Idaho,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
73,2007,2,Mont.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,2007,2,Nev.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
75,2007,2,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
76,2007,2,Utah,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2
77,2007,2,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
78,2007,2,PACIFIC,0,3,10,2,1,0,4,13,2,4,1,5,16,5,16
79,2007,2,Alaska,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0
80,2007,2,Calif.,0,2,8,2,1,0,3,8,0,3,0,3,10,4,5
81,2007,2,Hawaii,N,0,0,N,N,0,0,2,0,0,0,0,2,0,0
82,2007,2,Oreg.,0,0,2,0,0,0,0,2,2,0,0,0,4,0,11
83,2007,2,Wash.,0,0,1,0,0,0,0,4,0,0,1,0,5,1,0
84,2007,2,Amer. Samoa,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
85,2007,2,C.N.M.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
86,2007,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2007,2,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
88,2007,2,V.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
