,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2010","Meningococcal diseases, invasive �, All groups cummulative for 2009",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2010,Pertussis cummulative for 2009,"Rabies, animal current week","Rabies, animal previous 52 weeks median ","Rabies, animal previous 52 weeks maximum ","Rabies, animal cummulative for 2010","Rabies, animal cummulative for 2009"
22,2010,1,UNITED STATES,8,17,33,8,18,50,264,436,50,244,14,65,140,14,26
23,2010,1,NEW ENGLAND,0,0,4,0,0,0,12,24,0,23,4,6,24,4,1
24,2010,1,Conn.,0,0,2,0,0,0,1,4,0,1,0,2,22,0,0
25,2010,1,Maine,0,0,1,0,0,0,1,10,0,3,0,1,4,0,0
26,2010,1,Mass.,0,0,3,0,0,0,7,18,0,18,0,0,0,0,0
27,2010,1,N.H.,0,0,1,0,0,0,1,7,0,1,1,0,3,1,1
28,2010,1,R.I.,0,0,1,0,0,0,0,7,0,0,0,1,7,0,0
29,2010,1,Vt.,0,0,1,0,0,0,0,1,0,0,3,1,5,3,0
30,2010,1,MID. ATLANTIC,3,2,6,3,2,4,21,38,4,20,5,10,23,5,4
31,2010,1,N.J.,0,0,2,0,0,0,3,11,0,6,0,0,0,0,0
32,2010,1,N.Y. (Upstate),0,0,2,0,0,0,4,15,0,1,5,7,22,5,4
33,2010,1,N.Y. City,1,0,2,1,2,0,0,11,0,0,0,0,3,0,0
34,2010,1,Pa.,2,1,4,2,0,4,12,29,4,13,0,0,16,0,0
35,2010,1,E.N. CENTRAL,2,3,10,2,4,23,54,100,23,83,1,2,19,1,1
36,2010,1,Ill.,0,1,4,0,1,0,12,33,0,33,0,1,9,0,1
37,2010,1,Ind.,0,0,3,0,0,0,6,15,0,14,0,0,6,0,0
