,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
22,2013,1,UNITED STATES,1,10,20,1,11,0,4,8,0,4,41,783,"1,270",41,462
23,2013,1,NEW ENGLAND,0,0,3,0,0,0,0,1,0,0,5,44,100,5,22
24,2013,1,Conn.,0,0,1,0,0,0,0,0,0,0,0,3,9,0,0
25,2013,1,Maine,0,0,1,0,0,0,0,0,0,0,1,13,37,1,2
26,2013,1,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,7
27,2013,1,N.H.,0,0,0,0,0,0,0,1,0,0,0,3,19,0,5
28,2013,1,R.I.,0,0,0,0,0,0,0,1,0,0,0,1,20,0,2
29,2013,1,Vt.,0,0,1,0,0,0,0,0,0,0,4,9,42,4,6
30,2013,1,MID. ATLANTIC,0,1,4,0,1,0,0,3,0,0,5,103,183,5,78
31,2013,1,N.J.,0,0,2,0,0,0,0,0,0,0,0,15,40,0,22
32,2013,1,N.Y. (Upstate),0,0,2,0,0,0,0,1,0,0,0,46,109,0,1
33,2013,1,N.Y. City,0,0,2,0,1,0,0,3,0,0,0,7,28,0,28
34,2013,1,Pa.,0,0,2,0,0,0,0,1,0,0,5,33,64,5,27
35,2013,1,E.N. CENTRAL,0,1,4,0,1,0,1,3,0,1,9,173,354,9,193
36,2013,1,Ill.,0,0,3,0,0,0,1,2,0,1,0,36,65,0,65
37,2013,1,Ind.,0,0,1,0,0,0,0,2,0,0,0,7,18,0,6
38,2013,1,Mich.,0,0,2,0,0,0,0,1,0,0,2,13,40,2,11
39,2013,1,Ohio,0,0,2,0,1,0,0,1,0,0,5,16,37,5,14
40,2013,1,Wis.,0,0,1,0,0,0,0,1,0,0,2,96,261,2,97
41,2013,1,W.N. CENTRAL,0,1,4,0,1,0,0,2,0,0,5,114,231,5,60
42,2013,1,Iowa,0,0,1,0,0,0,0,1,0,0,0,32,100,0,9
43,2013,1,Kans.,0,0,1,0,0,0,0,1,0,0,0,15,30,0,10
44,2013,1,Minn.,0,0,3,0,0,0,0,1,0,0,0,38,89,0,19
45,2013,1,Mo.,0,0,3,0,1,0,0,1,0,0,5,16,45,5,16
46,2013,1,Nebr.,0,0,1,0,0,0,0,1,0,0,0,2,19,0,0
47,2013,1,N. Dak.,0,0,1,0,0,0,0,0,0,0,0,4,47,0,5
48,2013,1,S. Dak.,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1
49,2013,1,S. ATLANTIC,0,1,5,0,2,0,0,3,0,0,2,52,106,2,15
50,2013,1,Del.,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1
51,2013,1,D.C.,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0
52,2013,1,Fla.,0,1,3,0,0,0,0,1,0,0,0,11,26,0,5
53,2013,1,Ga.,0,0,2,0,0,0,0,2,0,0,0,4,15,0,0
54,2013,1,Md.,0,0,2,0,2,0,0,0,0,0,1,6,18,1,6
55,2013,1,N.C.,0,0,1,0,0,0,0,1,0,0,0,7,74,0,3
56,2013,1,S.C.,0,0,1,0,0,0,0,1,0,0,1,4,14,1,0
57,2013,1,Va.,0,0,2,0,0,0,0,1,0,0,0,10,25,0,0
58,2013,1,W. Va.,0,0,2,0,0,0,0,1,0,0,0,1,12,0,0
59,2013,1,E.S. CENTRAL,0,0,2,0,0,0,0,1,0,0,1,20,48,1,9
60,2013,1,Ala.,0,0,1,0,0,0,0,1,0,0,1,4,9,1,0
61,2013,1,Ky.,0,0,1,0,0,0,0,1,0,0,0,8,35,0,7
62,2013,1,Miss.,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0
63,2013,1,Tenn.,0,0,1,0,0,0,0,1,0,0,0,5,14,0,2
64,2013,1,W.S. CENTRAL,0,1,4,0,0,0,0,2,0,0,0,46,117,0,1
65,2013,1,Ark.,0,0,1,0,0,0,0,1,0,0,0,2,21,0,0
66,2013,1,La.,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0
67,2013,1,Okla.,0,0,2,0,0,0,0,1,0,0,0,0,34,0,0
68,2013,1,Tex.,0,0,3,0,0,0,0,2,0,0,0,40,80,0,1
69,2013,1,MOUNTAIN,0,0,3,0,0,0,0,2,0,1,8,113,167,8,59
70,2013,1,Ariz.,0,0,1,0,0,0,0,2,0,0,4,15,33,4,10
71,2013,1,Colo.,0,0,2,0,0,0,0,2,0,1,0,28,66,0,14
72,2013,1,Idaho,0,0,1,0,0,0,0,0,0,0,3,4,14,3,4
73,2013,1,Mont.,0,0,1,0,0,0,0,1,0,0,1,7,48,1,2
74,2013,1,Nev.,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0
75,2013,1,N. Mex.,0,0,1,0,0,0,0,0,0,0,0,15,31,0,7
76,2013,1,Utah,0,0,1,0,0,0,0,1,0,0,0,28,52,0,22
77,2013,1,Wyo.,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0
78,2013,1,PACIFIC,1,2,9,1,6,0,1,2,0,2,6,120,301,6,25
79,2013,1,Alaska,0,0,1,0,0,0,0,1,0,0,6,4,24,6,0
80,2013,1,Calif.,0,1,6,0,5,0,0,2,0,2,0,13,27,0,16
81,2013,1,Hawaii,0,0,1,0,0,0,0,1,0,0,0,1,10,0,5
82,2013,1,Oreg.,1,0,4,1,1,0,0,1,0,0,0,13,54,0,4
83,2013,1,Wash.,0,0,3,0,0,0,0,1,0,0,0,80,254,0,0
84,2013,1,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2013,1,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2013,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2013,1,P.R.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,2013,1,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2013,2,UNITED STATES,3,10,20,7,19,1,4,8,2,7,94,784,"1,269",188,864
23,2013,2,NEW ENGLAND,0,0,3,0,0,0,0,1,0,0,11,44,100,23,43
24,2013,2,Conn.,0,0,1,0,0,0,0,0,0,0,0,4,9,0,1
25,2013,2,Maine,0,0,1,0,0,0,0,0,0,0,9,13,37,12,5
26,2013,2,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,12
27,2013,2,N.H.,0,0,0,0,0,0,0,1,0,0,0,2,19,0,5
