,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2014,Lyme disease cummulative for 2013,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2014,Malaria cummulative for 2013,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2014","Meningococcal diseases, invasive �, All groups cummulative for 2013"
22,2014,1,UNITED STATES,10,332,"2,155",10,192,7,24,49,7,19,9,9,21,9,14
23,2014,1,NEW ENGLAND,0,111,878,0,56,1,2,8,1,3,0,0,3,0,1
24,2014,1,Conn.,0,23,242,0,24,0,0,0,0,0,0,0,1,0,0
25,2014,1,Maine,0,14,99,0,1,1,0,2,1,0,0,0,1,0,0
26,2014,1,Mass.,0,37,437,0,21,0,1,4,0,2,0,0,3,0,1
27,2014,1,N.H.,0,6,91,0,7,0,0,2,0,1,0,0,1,0,0
28,2014,1,R.I.,0,9,54,0,0,0,0,8,0,0,0,0,1,0,0
29,2014,1,Vt.,0,7,92,0,3,0,0,3,0,0,0,0,1,0,0
30,2014,1,MID. ATLANTIC,7,170,"1,004",7,87,0,8,21,0,2,0,1,7,0,2
31,2014,1,N.J.,0,48,224,0,47,0,1,5,0,0,0,0,2,0,1
32,2014,1,N.Y. (Upstate),0,43,257,0,4,0,1,5,0,0,0,0,3,0,0
33,2014,1,N.Y. City,0,1,39,0,0,0,4,13,0,2,0,0,2,0,1
34,2014,1,Pa.,7,80,540,7,36,0,1,5,0,0,0,0,3,0,0
35,2014,1,E.N. CENTRAL,1,16,216,1,8,1,2,8,1,2,0,0,4,0,2
36,2014,1,Ill.,0,2,30,0,0,0,1,5,0,1,0,0,2,0,1
37,2014,1,Ind.,0,1,12,0,0,0,0,2,0,0,0,0,1,0,1
38,2014,1,Mich.,1,2,15,1,0,0,0,2,0,1,0,0,1,0,0
39,2014,1,Ohio,0,1,7,0,0,1,0,3,1,0,0,0,2,0,0
40,2014,1,Wis.,0,12,177,0,8,0,0,3,0,0,0,0,1,0,0
41,2014,1,W.N. CENTRAL,0,3,31,0,0,3,0,3,3,2,0,0,3,0,1
42,2014,1,Iowa,0,2,27,0,0,0,0,2,0,0,0,0,1,0,0
43,2014,1,Kans.,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
44,2014,1,Minn.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
45,2014,1,Mo.,0,0,3,0,0,1,0,1,1,1,0,0,2,0,0
46,2014,1,Nebr.,0,0,2,0,0,1,0,2,1,1,0,0,1,0,0
47,2014,1,N. Dak.,0,0,5,0,0,1,0,1,1,0,0,0,1,0,0
48,2014,1,S. Dak.,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0
49,2014,1,S. ATLANTIC,2,35,116,2,37,2,5,16,2,5,5,1,6,5,1
50,2014,1,Del.,0,7,23,0,4,0,0,1,0,0,0,0,1,0,0
51,2014,1,D.C.,N,0,0,N,N,0,0,1,0,1,0,0,1,0,0
52,2014,1,Fla.,1,2,14,1,1,1,1,3,1,1,3,1,3,3,1
53,2014,1,Ga.,0,0,4,0,0,0,1,5,0,0,0,0,2,0,0
54,2014,1,Md.,1,18,68,1,31,1,2,10,1,3,0,0,1,0,0
55,2014,1,N.C.,0,0,32,0,0,0,0,6,0,0,2,0,2,2,0
56,2014,1,S.C.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
57,2014,1,Va.,0,2,61,0,1,0,0,4,0,0,0,0,1,0,0
58,2014,1,W. Va.,0,1,19,0,0,0,0,1,0,0,0,0,1,0,0
59,2014,1,E.S. CENTRAL,0,1,9,0,1,0,0,4,0,0,1,0,2,1,1
60,2014,1,Ala.,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0
61,2014,1,Ky.,0,0,9,0,0,0,0,2,0,0,0,0,1,0,0
62,2014,1,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
63,2014,1,Tenn.,0,0,3,0,0,0,0,3,0,0,1,0,1,1,0
64,2014,1,W.S. CENTRAL,0,1,5,0,0,0,1,7,0,1,0,1,3,0,0
65,2014,1,Ark.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,2014,1,La.,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
67,2014,1,Okla.,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0
68,2014,1,Tex.,0,1,5,0,0,0,1,5,0,0,0,0,3,0,0
69,2014,1,MOUNTAIN,0,2,9,0,0,0,1,6,0,2,0,0,4,0,0
70,2014,1,Ariz.,0,0,3,0,0,0,0,3,0,1,0,0,3,0,0
71,2014,1,Colo.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
72,2014,1,Idaho,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0
73,2014,1,Mont.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
74,2014,1,Nev.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
75,2014,1,N. Mex.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
