,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2015,Lyme disease cummulative for 2014,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2015,Malaria cummulative for 2014,"Meningococcal diseases, invasive�, All groups current week","Meningococcal diseases, invasive�, All groups previous 52 weeks median ","Meningococcal diseases, invasive�, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive�, All groups cummulative for 2015","Meningococcal diseases, invasive�, All groups cummulative for 2014"
22,2015,1,UNITED STATES,17,392,"1,819",17,156,6,25,51,6,19,3,7,16,3,17
23,2015,1,NEW ENGLAND,1,124,733,1,53,0,2,7,0,2,0,0,2,0,0
24,2015,1,Conn.,1,30,176,1,11,0,0,2,0,0,0,0,1,0,0
25,2015,1,Maine,0,15,92,0,2,0,0,1,0,1,0,0,1,0,0
26,2015,1,Mass.,0,42,419,0,24,0,1,5,0,1,0,0,1,0,0
27,2015,1,N.H.,0,5,67,0,3,0,0,2,0,0,0,0,0,0,0
28,2015,1,R.I.,0,9,83,0,0,0,0,3,0,0,0,0,1,0,0
29,2015,1,Vt.,0,8,48,0,13,0,0,2,0,0,0,0,0,0,0
30,2015,1,MID. ATLANTIC,13,186,922,13,77,2,7,23,2,5,0,1,3,0,0
31,2015,1,N.J.,0,39,191,0,30,0,1,5,0,1,0,0,1,0,0
32,2015,1,N.Y. (Upstate),2,44,171,2,2,1,1,4,1,0,0,0,2,0,0
33,2015,1,N.Y. City,1,3,441,1,0,0,3,16,0,4,0,0,2,0,0
34,2015,1,Pa.,10,79,603,10,45,1,1,5,1,0,0,0,2,0,0
35,2015,1,E.N. CENTRAL,0,13,128,0,8,1,2,8,1,1,0,1,4,0,1
36,2015,1,Ill.,0,1,20,0,0,0,1,4,0,0,0,0,2,0,0
37,2015,1,Ind.,0,1,11,0,0,0,0,3,0,0,0,0,1,0,0
38,2015,1,Mich.,0,1,13,0,2,0,0,2,0,0,0,0,2,0,0
39,2015,1,Ohio,0,1,10,0,0,1,1,3,1,1,0,0,2,0,0
40,2015,1,Wis.,0,10,97,0,6,0,0,2,0,0,0,0,1,0,1
41,2015,1,W.N. CENTRAL,0,2,23,0,3,0,1,4,0,3,0,0,2,0,3
42,2015,1,Iowa,0,1,20,0,0,0,0,2,0,0,0,0,1,0,1
43,2015,1,Kans.,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0
44,2015,1,Minn.,0,0,0,0,3,0,0,1,0,1,0,0,1,0,1
45,2015,1,Mo.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
46,2015,1,Nebr.,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0
47,2015,1,N. Dak.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
48,2015,1,S. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,2015,1,S. ATLANTIC,3,44,178,3,11,2,7,18,2,3,3,2,6,3,5
50,2015,1,Del.,0,6,24,0,3,0,0,1,0,0,0,0,1,0,0
51,2015,1,D.C.,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0
52,2015,1,Fla.,1,2,12,1,1,1,1,4,1,1,2,1,4,2,3
53,2015,1,Ga.,0,0,1,0,0,0,1,5,0,0,0,0,2,0,0
54,2015,1,Md.,0,15,62,0,5,1,2,9,1,2,0,0,1,0,0
55,2015,1,N.C.,0,0,78,0,0,0,0,8,0,0,0,0,3,0,2
56,2015,1,S.C.,0,0,3,0,1,0,0,1,0,0,0,0,2,0,0
57,2015,1,Va.,2,16,100,2,1,0,1,5,0,0,1,0,2,1,0
58,2015,1,W. Va.,0,1,15,0,0,0,0,1,0,0,0,0,1,0,0
59,2015,1,E.S. CENTRAL,0,1,10,0,1,1,0,5,1,1,0,0,2,0,1
60,2015,1,Ala.,0,0,7,0,0,1,0,3,1,0,0,0,1,0,0
61,2015,1,Ky.,0,0,5,0,1,0,0,2,0,0,0,0,1,0,0
