,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
22,2016,1,UNITED STATES,48,433,"2,240",48,169,11,22,56,11,18,1,6,15,1,8
23,2016,1,NEW ENGLAND,0,79,723,0,49,1,1,6,1,1,0,0,2,0,0
24,2016,1,Conn.,0,23,187,0,15,0,0,1,0,0,0,0,0,0,0
25,2016,1,Maine,0,15,78,0,3,1,0,3,1,0,0,0,2,0,0
26,2016,1,Mass.,0,30,390,0,27,0,1,3,0,1,0,0,2,0,0
27,2016,1,N.H.,0,6,65,0,1,0,0,2,0,0,0,0,1,0,0
28,2016,1,R.I.,0,10,69,0,0,0,0,2,0,0,0,0,2,0,0
29,2016,1,Vt.,0,7,55,0,3,0,0,0,0,0,0,0,1,0,0
30,2016,1,MID. ATLANTIC,42,229,"1,246",42,90,5,5,24,5,5,0,1,4,0,0
31,2016,1,N.J.,0,44,325,0,30,0,1,5,0,1,0,0,1,0,0
32,2016,1,N.Y. (Upstate),6,47,231,6,4,0,1,7,0,1,0,0,1,0,0
33,2016,1,N.Y. City,2,4,560,2,1,5,2,17,5,0,0,0,2,0,0
34,2016,1,Pa.,34,127,835,34,55,0,0,3,0,3,0,0,2,0,0
35,2016,1,E.N. CENTRAL,1,20,173,1,6,1,2,6,1,4,0,1,5,0,1
36,2016,1,Ill.,0,2,28,0,1,0,1,3,0,2,0,0,1,0,0
37,2016,1,Ind.,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0
38,2016,1,Mich.,1,2,11,1,0,0,0,2,0,0,0,0,1,0,0
39,2016,1,Ohio,0,2,18,0,1,1,0,3,1,1,0,0,4,0,0
40,2016,1,Wis.,0,14,129,0,4,0,0,1,0,1,0,0,2,0,1
41,2016,1,W.N. CENTRAL,0,4,30,0,0,0,0,3,0,1,0,0,3,0,0
42,2016,1,Iowa,0,2,28,0,0,0,0,2,0,0,0,0,1,0,0
43,2016,1,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
