,year,mmwr_week,Reporting Area,"Meningococcal disease(Neisseria meningitidis)�, All serogroups current week","Meningococcal disease(Neisseria meningitidis)�, All serogroups previous 52 weeks median ","Meningococcal disease(Neisseria meningitidis)�, All serogroups previous 52 weeks maximum ","Meningococcal disease(Neisseria meningitidis)�, All serogroups cummulative for 2017","Meningococcal disease(Neisseria meningitidis)�, All serogroups cummulative for 2016",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2017,Mumps cummulative for 2016,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2017,Pertussis cummulative for 2016
21,2017,1,UNITED STATES,3,6,21,3,4,29,69,390,29,40,62,311,433,62,311
22,2017,1,NEW ENGLAND,0,0,2,0,0,0,3,38,0,0,2,14,64,2,26
23,2017,1,Conn.,0,0,1,0,0,0,0,12,0,0,0,1,6,0,2
24,2017,1,Maine,0,0,1,0,0,0,0,4,0,0,2,4,14,2,9
25,2017,1,Mass.,0,0,2,0,0,0,1,28,0,0,0,3,8,0,6
26,2017,1,N.H.,0,0,0,0,0,0,0,5,0,0,0,1,4,0,2
27,2017,1,R.I.,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0
28,2017,1,Vt.,0,0,0,0,0,0,0,0,0,0,0,3,43,0,7
29,2017,1,MID. ATLANTIC,0,0,4,0,0,4,5,31,4,1,21,54,90,21,57
30,2017,1,N.J.,0,0,2,0,0,0,0,3,0,0,0,8,24,0,19
31,2017,1,N.Y. (Upstate),0,0,1,0,0,4,1,24,4,0,5,13,24,5,4
32,2017,1,N.Y. City,0,0,2,0,0,0,1,18,0,1,0,5,14,0,9
33,2017,1,Pa.,0,0,2,0,0,0,0,2,0,0,16,25,77,16,25
34,2017,1,E.N. CENTRAL,0,0,4,0,0,0,9,55,0,5,19,70,156,19,78
35,2017,1,Ill.,0,0,2,0,0,0,3,25,0,4,0,18,30,0,23
36,2017,1,Ind.,0,0,2,0,0,0,2,23,0,0,0,3,9,0,5
37,2017,1,Mich.,0,0,1,0,0,0,0,2,0,0,0,7,29,0,11
38,2017,1,Ohio,0,0,1,0,0,0,1,20,0,0,18,18,38,18,25
39,2017,1,Wis.,0,0,1,0,0,0,0,10,0,1,1,22,99,1,14
40,2017,1,W.N. CENTRAL,0,0,1,0,0,0,15,45,0,34,0,29,53,0,25
41,2017,1,Iowa,0,0,1,0,0,0,11,40,0,32,0,2,11,0,5
42,2017,1,Kans.,0,0,1,0,0,0,0,2,0,1,0,2,8,0,0
43,2017,1,Minn.,0,0,1,0,0,0,0,4,0,1,0,13,34,0,13
44,2017,1,Mo.,0,0,1,0,0,0,0,29,0,0,0,4,27,0,0
45,2017,1,Nebr.,0,0,1,0,0,0,0,10,0,0,0,3,9,0,7
46,2017,1,N. Dak.,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0
47,2017,1,S. Dak.,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
48,2017,1,S. ATLANTIC,1,1,4,1,0,1,2,8,1,0,1,25,43,1,39
49,2017,1,Del.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
50,2017,1,D.C.,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
51,2017,1,Fla.,1,0,2,1,0,1,0,2,1,0,1,7,16,1,7
52,2017,1,Ga.,0,0,3,0,0,0,0,2,0,0,0,3,18,0,8
53,2017,1,Md.,0,0,1,0,0,0,0,3,0,0,0,2,9,0,3
54,2017,1,N.C.,0,0,1,0,0,0,0,8,0,0,0,4,11,0,11
55,2017,1,S.C.,0,0,2,0,0,0,0,2,0,0,0,2,15,0,7
56,2017,1,Va.,0,0,2,0,0,0,0,2,0,0,0,3,10,0,0
57,2017,1,W. Va.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
58,2017,1,E.S. CENTRAL,0,0,2,0,0,0,1,15,0,0,1,14,34,1,34
59,2017,1,Ala.,0,0,1,0,0,0,0,1,0,0,0,3,7,0,5
60,2017,1,Ky.,0,0,1,0,0,0,0,15,0,0,1,8,27,1,27
61,2017,1,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
62,2017,1,Tenn.,0,0,1,0,0,0,0,1,0,0,0,3,5,0,2
63,2017,1,W.S. CENTRAL,0,0,3,0,0,23,2,325,23,0,1,27,83,1,3
64,2017,1,Ark.,0,0,1,0,0,16,0,241,16,0,0,1,4,0,0
65,2017,1,La.,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1
66,2017,1,Okla.,0,0,1,0,0,3,0,81,3,0,0,0,54,0,0
67,2017,1,Tex.,0,0,3,0,0,4,1,31,4,0,1,21,40,1,2
68,2017,1,MOUNTAIN,0,0,3,0,0,0,1,6,0,0,16,29,59,16,20
69,2017,1,Ariz.,0,0,1,0,0,0,0,2,0,0,2,4,21,2,8
70,2017,1,Colo.,0,0,1,0,0,0,0,3,0,0,14,15,25,14,3
71,2017,1,Idaho,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0
72,2017,1,Mont.,0,0,1,0,0,0,0,6,0,0,0,0,3,0,1
73,2017,1,Nev.,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1
74,2017,1,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,3,8,0,1
75,2017,1,Utah,0,0,1,0,0,0,0,1,0,0,0,4,10,0,6
76,2017,1,Wyo.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
77,2017,1,PACIFIC,2,2,7,2,4,1,2,37,1,0,1,38,58,1,29
78,2017,1,Alaska,0,0,2,0,0,1,0,2,1,0,1,2,10,1,2
79,2017,1,Calif.,0,1,6,0,2,0,1,9,0,0,0,23,36,0,22
80,2017,1,Hawaii,0,0,1,0,0,0,0,2,0,0,0,1,5,0,2
81,2017,1,Oreg.,2,0,3,2,2,0,0,4,0,0,0,3,13,0,3
82,2017,1,Wash.,0,0,1,0,0,0,0,35,0,0,0,9,30,0,0
83,2017,1,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
