,year,mmwr_week,Reporting Area,"Meningococcal disease, all serogroups current week","Meningococcal disease, all serogroups previous 52 weeks median ","Meningococcal disease, all serogroups previous 52 weeks maximum ","Meningococcal disease, all serogroups cummulative for 2018","Meningococcal disease, all serogroups cummulative for 2017",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2018,Mumps cummulative for 2017,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2018,Pertussis cummulative for 2017
21,2018,1,United States,3,6,13,3,4,5,97,241,5,106,40,317,461,40,273
22,2018,1,New England,0,0,2,0,0,0,3,14,0,2,2,19,29,2,19
23,2018,1,Connecticut,0,0,0,0,0,0,0,2,0,0,0,1,5,0,4
24,2018,1,Maine,0,0,1,0,0,0,0,1,0,0,2,7,19,2,4
25,2018,1,Massachusetts,0,0,1,0,0,0,3,14,0,1,0,5,15,0,6
26,2018,1,New Hampshire,0,0,0,0,0,0,0,2,0,1,0,1,5,0,1
27,2018,1,Rhode Island,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0
28,2018,1,Vermont,0,0,1,0,0,0,0,1,0,0,0,1,17,0,4
29,2018,1,Middle Atlantic,0,1,3,0,0,0,12,63,0,16,5,36,67,5,47
30,2018,1,New Jersey,0,0,1,0,0,0,0,4,0,4,0,7,28,0,15
31,2018,1,New York (excluding New York City),0,0,2,0,0,0,3,54,0,4,3,9,26,3,5
32,2018,1,New York City,0,0,3,0,0,0,4,14,0,8,0,2,6,0,3
33,2018,1,Pennsylvania,0,0,2,0,0,0,1,15,0,0,2,17,31,2,24
34,2018,1,East North Central,1,0,3,1,0,0,6,28,0,14,10,61,99,10,70
35,2018,1,Illinois,0,0,2,0,0,0,3,22,0,3,0,11,42,0,11
36,2018,1,Indiana,0,0,2,0,0,0,0,4,0,1,0,6,19,0,4
37,2018,1,Michigan,0,0,1,0,0,0,0,2,0,0,0,12,21,0,13
38,2018,1,Ohio,1,0,3,1,0,0,0,7,0,0,10,17,34,10,18
39,2018,1,Wisconsin,0,0,0,0,0,0,0,10,0,10,0,14,27,0,24
40,2018,1,West North Central,1,0,2,1,0,0,5,60,0,26,5,26,115,5,47
41,2018,1,Iowa,0,0,1,0,0,0,2,9,0,3,0,3,8,0,2
42,2018,1,Kansas,0,0,1,0,0,0,0,19,0,0,0,3,11,0,7
43,2018,1,Minnesota,0,0,2,0,0,0,0,10,0,0,0,11,27,0,27
44,2018,1,Missouri,1,0,1,1,0,0,3,40,0,23,5,6,87,5,7
45,2018,1,Nebraska,0,0,1,0,0,0,0,1,0,0,0,2,13,0,1
46,2018,1,North Dakota,0,0,0,0,0,0,0,2,0,0,0,1,4,0,2
47,2018,1,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2018,1,South Atlantic,0,1,5,0,1,1,4,11,1,0,6,27,45,6,18
49,2018,1,Delaware,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
50,2018,1,District of Columbia,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
51,2018,1,Florida,0,0,3,0,1,1,1,9,1,0,3,8,21,3,1
52,2018,1,Georgia,0,0,2,0,0,0,1,6,0,0,0,2,13,0,2
53,2018,1,Maryland,0,0,2,0,0,0,0,1,0,0,3,2,6,3,2
54,2018,1,North Carolina,0,0,2,0,0,0,0,3,0,0,0,6,21,0,10
55,2018,1,South Carolina,0,0,2,0,0,0,0,2,0,0,0,2,12,0,2
56,2018,1,Virginia,0,0,3,0,0,0,0,4,0,0,0,4,14,0,1
57,2018,1,West Virginia,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
58,2018,1,East South Central,0,0,2,0,0,1,2,13,1,1,2,15,41,2,7
59,2018,1,Alabama,0,0,1,0,0,0,0,11,0,0,0,4,17,0,1
60,2018,1,Kentucky,0,0,1,0,0,0,0,3,0,0,0,6,28,0,4
61,2018,1,Mississippi,0,0,1,0,0,0,0,8,0,0,1,1,2,1,1
62,2018,1,Tennessee,0,0,2,0,0,1,1,6,1,1,1,3,9,1,1
63,2018,1,West South Central,0,0,2,0,1,0,11,107,0,41,1,37,76,1,4
64,2018,1,Arkansas,0,0,1,0,0,0,0,96,0,31,0,3,11,0,0
65,2018,1,Louisiana,0,0,1,0,1,0,0,3,0,0,0,0,5,0,1
66,2018,1,Oklahoma,0,0,1,0,0,0,1,25,0,4,0,0,43,0,0
67,2018,1,Texas,0,0,2,0,0,0,6,24,0,6,1,29,62,1,3
68,2018,1,Mountain,0,0,2,0,0,1,2,17,1,1,7,35,66,7,32
69,2018,1,Arizona,0,0,1,0,0,1,0,12,1,0,2,8,17,2,4
70,2018,1,Colorado,0,0,1,0,0,0,1,13,0,1,0,12,36,0,14
71,2018,1,Idaho,0,0,1,0,0,0,0,2,0,0,3,1,11,3,0
72,2018,1,Montana,0,0,1,0,0,0,0,2,0,0,2,1,18,2,0
73,2018,1,Nevada,0,0,1,0,0,0,0,1,0,0,0,1,9,0,0
74,2018,1,New Mexico,0,0,1,0,0,0,0,1,0,0,0,3,11,0,11
75,2018,1,Utah,0,0,1,0,0,0,0,9,0,0,0,7,23,0,3
76,2018,1,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
77,2018,1,Pacific,1,2,6,1,2,2,35,123,2,5,2,51,117,2,29
78,2018,1,Alaska,0,0,1,0,0,0,0,22,0,0,0,1,4,0,4
79,2018,1,California,0,1,4,0,0,0,1,11,0,5,0,35,68,0,20
80,2018,1,Hawaii,0,0,1,0,0,1,15,44,1,0,1,0,3,1,3
81,2018,1,Oregon,1,0,2,1,2,1,1,4,1,0,1,4,11,1,2
82,2018,1,Washington,0,0,4,0,0,0,4,113,0,0,0,10,41,0,0
84,2018,1,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2018,1,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2018,1,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2018,1,Puerto Rico,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
88,2018,1,U.S. Virgin Islands,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2018,2,United States,5,6,13,8,17,6,94,241,12,275,65,320,461,138,543
22,2018,2,New England,0,0,2,0,1,0,4,14,0,2,6,20,31,9,45
23,2018,2,Connecticut,0,0,0,0,0,0,0,2,0,0,0,1,5,0,5
24,2018,2,Maine,0,0,1,0,0,0,0,1,0,0,6,7,19,9,10
25,2018,2,Massachusetts,0,0,1,0,1,0,3,14,0,1,0,6,18,0,7
26,2018,2,New Hampshire,0,0,0,0,0,0,0,2,0,1,0,1,5,0,2
27,2018,2,Rhode Island,0,0,1,0,0,0,0,10,0,0,0,0,9,0,0
28,2018,2,Vermont,0,0,1,0,0,0,0,1,0,0,0,1,17,0,21
29,2018,2,Middle Atlantic,0,1,3,0,0,1,11,63,1,32,6,36,67,16,89
30,2018,2,New Jersey,0,0,1,0,0,0,0,2,0,5,0,7,28,0,23
31,2018,2,New York (excluding New York City),0,0,2,0,0,0,3,54,0,5,2,9,26,5,11
32,2018,2,New York City,0,0,3,0,0,0,4,14,0,22,0,2,6,0,9
33,2018,2,Pennsylvania,0,0,2,0,0,1,1,15,1,0,4,17,31,11,46
34,2018,2,East North Central,1,0,3,2,0,1,5,28,1,20,21,61,100,34,137
35,2018,2,Illinois,0,0,2,0,0,0,3,22,0,5,0,11,42,0,27
36,2018,2,Indiana,0,0,2,0,0,0,0,4,0,3,0,6,19,0,6
37,2018,2,Michigan,0,0,1,0,0,0,0,2,0,0,1,11,21,2,34
38,2018,2,Ohio,1,0,3,2,0,1,0,7,1,0,20,16,34,30,30
39,2018,2,Wisconsin,0,0,0,0,0,0,0,9,0,12,0,14,27,2,40
40,2018,2,West North Central,0,0,2,1,1,0,5,60,0,51,0,25,115,12,82
41,2018,2,Iowa,0,0,1,0,0,0,1,9,0,11,0,3,8,0,3
42,2018,2,Kansas,0,0,1,0,0,0,0,19,0,1,0,3,11,0,10
43,2018,2,Minnesota,0,0,2,0,0,0,0,10,0,1,0,11,22,0,46
44,2018,2,Missouri,0,0,1,1,1,0,2,40,0,37,0,6,87,5,14
45,2018,2,Nebraska,0,0,1,0,0,0,0,1,0,0,0,2,13,7,4
46,2018,2,North Dakota,0,0,0,0,0,0,0,2,0,1,0,1,4,0,4
47,2018,2,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2018,2,South Atlantic,3,1,5,3,6,3,4,11,4,2,5,27,45,13,47
