,year,mmwr_week,Reporting Area,Meningococcal disease; All serogroups current week,Meningococcal disease; All serogroups previous 52 weeks maximum�,Meningococcal disease; All serogroups cummulative YTD for 2019�,Meningococcal disease; All serogroups cummulative YTD for 2018�,Meningococcal disease; Serogroups ACWY current week,Meningococcal disease; Serogroups ACWY previous 52 weeks maximum�,Meningococcal disease; Serogroups ACWY cummulative YTD for 2019�,Meningococcal disease; Serogroups ACWY cummulative YTD for 2018�,Meningococcal disease; Serogroup B current week,Meningococcal disease; Serogroup B previous 52 weeks maximum�,Meningococcal disease; Serogroup B cummulative YTD for 2019�,Meningococcal disease; Serogroup B cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
17,2019,1,"U.S. Residents, excluding U.S. Territories",4,13,4,7,0,5,0,1,1,3,1,2,
18,2019,1,New England,0,2,0,0,0,2,0,0,0,1,0,0,
19,2019,1,Connecticut,0,1,0,0,0,0,0,0,0,1,0,0,
20,2019,1,Maine,0,1,0,0,0,1,0,0,0,0,0,0,
21,2019,1,Massachusetts,0,2,0,0,0,2,0,0,0,1,0,0,
22,2019,1,New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,
23,2019,1,Rhode Island,0,1,0,0,0,1,0,0,0,0,0,0,
24,2019,1,Vermont,0,0,0,0,0,0,0,0,0,0,0,0,
25,2019,1,Middle Atlantic,1,3,1,1,0,1,0,0,1,1,1,0,
26,2019,1,New Jersey,0,1,0,1,0,0,0,0,0,0,0,0,
27,2019,1,New York (excluding New York City),1,2,1,0,0,1,0,0,1,1,1,0,
28,2019,1,New York City,0,1,0,0,0,0,0,0,0,0,0,0,
29,2019,1,Pennsylvania,0,1,0,0,0,0,0,0,0,0,0,0,
30,2019,1,East North Central,0,3,0,1,0,2,0,0,0,1,0,1,
31,2019,1,Illinois,0,1,0,0,0,1,0,0,0,1,0,0,
32,2019,1,Indiana,0,1,0,0,0,1,0,0,0,1,0,0,
33,2019,1,Michigan,0,1,0,0,0,1,0,0,0,0,0,0,
34,2019,1,Ohio,0,2,0,1,0,1,0,0,0,1,0,1,
35,2019,1,Wisconsin,0,1,0,0,0,1,0,0,0,1,0,0,
36,2019,1,West North Central,0,3,0,1,0,0,0,0,0,1,0,0,
37,2019,1,Iowa,0,1,0,0,0,0,0,0,0,0,0,0,
38,2019,1,Kansas,0,1,0,0,0,0,0,0,0,1,0,0,
39,2019,1,Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,
40,2019,1,Missouri,0,3,0,1,0,0,0,0,0,0,0,0,
41,2019,1,Nebraska,0,1,0,0,0,0,0,0,0,0,0,0,
42,2019,1,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,
43,2019,1,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,
44,2019,1,South Atlantic,1,5,1,1,0,2,0,0,0,2,0,1,
45,2019,1,Delaware,0,1,0,0,0,0,0,0,0,0,0,0,
46,2019,1,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,
47,2019,1,Florida,1,2,1,0,0,0,0,0,0,0,0,0,
48,2019,1,Georgia,0,2,0,1,0,1,0,0,0,1,0,1,
49,2019,1,Maryland,0,2,0,0,0,1,0,0,0,2,0,0,
50,2019,1,North Carolina,0,1,0,0,0,1,0,0,0,1,0,0,
