,year,mmwr_week,Reporting Area,Meningococcal disease (continued); Other serogroups current week,Meningococcal disease (continued); Other serogroups previous 52 weeks maximum�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2019�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2018�,Meningococcal disease (continued); Unknown serogroup current week,Meningococcal disease (continued); Unknown serogroup previous 52 weeks maximum�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2019�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
13,2019,1,"U.S. Residents, excluding U.S. Territories",0,3,0,0,3,8,3,4,
14,2019,1,New England,0,0,0,0,0,1,0,0,
15,2019,1,Connecticut,0,0,0,0,0,1,0,0,
16,2019,1,Maine,0,0,0,0,0,0,0,0,
17,2019,1,Massachusetts,0,0,0,0,0,1,0,0,
18,2019,1,New Hampshire,0,0,0,0,0,0,0,0,
19,2019,1,Rhode Island,0,0,0,0,0,0,0,0,
20,2019,1,Vermont,0,0,0,0,0,0,0,0,
21,2019,1,Middle Atlantic,0,1,0,0,0,3,0,1,
22,2019,1,New Jersey,0,0,0,0,0,1,0,1,
23,2019,1,New York (excluding New York City),0,1,0,0,0,1,0,0,
24,2019,1,New York City,0,0,0,0,0,1,0,0,
25,2019,1,Pennsylvania,0,0,0,0,0,1,0,0,
26,2019,1,East North Central,0,1,0,0,0,2,0,0,
27,2019,1,Illinois,0,1,0,0,0,0,0,0,
28,2019,1,Indiana,0,0,0,0,0,1,0,0,
29,2019,1,Michigan,0,0,0,0,0,1,0,0,
30,2019,1,Ohio,0,1,0,0,0,2,0,0,
31,2019,1,Wisconsin,0,1,0,0,0,0,0,0,
32,2019,1,West North Central,0,0,0,0,0,3,0,1,
33,2019,1,Iowa,0,0,0,0,0,1,0,0,
34,2019,1,Kansas,0,0,0,0,0,0,0,0,
35,2019,1,Minnesota,0,0,0,0,0,0,0,0,
36,2019,1,Missouri,0,0,0,0,0,3,0,1,
37,2019,1,Nebraska,0,0,0,0,0,1,0,0,
38,2019,1,North Dakota,0,0,0,0,0,0,0,0,
39,2019,1,South Dakota,0,0,0,0,0,0,0,0,
40,2019,1,South Atlantic,0,1,0,0,1,3,1,0,
41,2019,1,Delaware,0,0,0,0,0,1,0,0,
42,2019,1,District of Columbia,0,0,0,0,0,0,0,0,
43,2019,1,Florida,0,0,0,0,1,2,1,0,
44,2019,1,Georgia,0,1,0,0,0,1,0,0,
45,2019,1,Maryland,0,1,0,0,0,0,0,0,
46,2019,1,North Carolina,0,0,0,0,0,1,0,0,
47,2019,1,South Carolina,0,0,0,0,0,0,0,0,
48,2019,1,Virginia,0,0,0,0,0,1,0,0,
49,2019,1,West Virginia,0,0,0,0,0,0,0,0,
50,2019,1,East South Central,0,0,0,0,0,1,0,0,
51,2019,1,Alabama,0,0,0,0,0,1,0,0,
52,2019,1,Kentucky,0,0,0,0,0,0,0,0,
53,2019,1,Mississippi,0,0,0,0,0,1,0,0,
54,2019,1,Tennessee,0,0,0,0,0,0,0,0,
55,2019,1,West South Central,0,2,0,0,0,2,0,0,
56,2019,1,Arkansas,0,1,0,0,0,0,0,0,
57,2019,1,Louisiana,0,0,0,0,0,0,0,0,
58,2019,1,Oklahoma,0,1,0,0,0,0,0,0,
59,2019,1,Texas,0,1,0,0,0,2,0,0,
60,2019,1,Mountain,0,1,0,0,0,1,0,1,
61,2019,1,Arizona,0,0,0,0,0,0,0,0,
62,2019,1,Colorado,0,1,0,0,0,0,0,0,
63,2019,1,Idaho,0,1,0,0,0,0,0,0,
64,2019,1,Montana,0,0,0,0,0,0,0,0,
65,2019,1,Nevada,0,0,0,0,0,0,0,0,
66,2019,1,New Mexico,0,0,0,0,0,1,0,1,
67,2019,1,Utah,0,0,0,0,0,0,0,0,
68,2019,1,Wyoming,0,0,0,0,0,0,0,0,
69,2019,1,Pacific,0,1,0,0,2,4,2,1,
70,2019,1,Alaska,0,0,0,0,0,0,0,0,
71,2019,1,California,0,0,0,0,0,4,0,1,
72,2019,1,Hawaii,0,0,0,0,0,1,0,0,
73,2019,1,Oregon,0,0,0,0,2,1,2,0,
74,2019,1,Washington,0,1,0,0,0,2,0,0,
75,2019,1,U.S. Territories,0,0,0,0,0,0,0,0,
76,2019,1,American Samoa,0,0,0,0,0,0,0,0,
77,2019,1,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
78,2019,1,Guam,0,0,0,0,0,0,0,0,
79,2019,1,Puerto Rico,0,0,0,0,0,0,0,0,
80,2019,1,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
81,2019,1,Non-U.S. Residents,0,NC,0,NP,0,NC,0,NP,
82,2019,1,Total,0,3,0,0,3,8,3,4,
13,2019,2,"U.S. Residents, excluding U.S. Territories",0,3,0,3,1,7,5,9,
14,2019,2,New England,0,0,0,0,0,1,0,0,
15,2019,2,Connecticut,0,0,0,0,0,1,0,0,
16,2019,2,Maine,0,0,0,0,0,0,0,0,
17,2019,2,Massachusetts,0,0,0,0,0,1,0,0,
18,2019,2,New Hampshire,0,0,0,0,0,0,0,0,
19,2019,2,Rhode Island,0,0,0,0,0,0,0,0,
20,2019,2,Vermont,0,0,0,0,0,0,0,0,
21,2019,2,Middle Atlantic,0,1,0,0,1,3,1,1,
22,2019,2,New Jersey,0,0,0,0,0,1,0,1,
23,2019,2,New York (excluding New York City),0,1,0,0,1,1,1,0,
24,2019,2,New York City,0,0,0,0,0,1,0,0,
25,2019,2,Pennsylvania,0,0,0,0,0,1,0,0,
26,2019,2,East North Central,0,1,0,1,0,2,0,0,
27,2019,2,Illinois,0,1,0,0,0,0,0,0,
28,2019,2,Indiana,0,0,0,0,0,1,0,0,
29,2019,2,Michigan,0,0,0,0,0,1,0,0,
30,2019,2,Ohio,0,1,0,0,0,2,0,0,
31,2019,2,Wisconsin,0,1,0,1,0,1,0,0,
32,2019,2,West North Central,0,0,0,0,0,3,0,1,
33,2019,2,Iowa,0,0,0,0,0,1,0,0,
34,2019,2,Kansas,0,0,0,0,0,0,0,0,
35,2019,2,Minnesota,0,0,0,0,0,0,0,0,
36,2019,2,Missouri,0,0,0,0,0,3,0,1,
37,2019,2,Nebraska,0,0,0,0,0,1,0,0,
38,2019,2,North Dakota,0,0,0,0,0,0,0,0,
39,2019,2,South Dakota,0,0,0,0,0,0,0,0,
40,2019,2,South Atlantic,0,1,0,1,0,3,1,1,
41,2019,2,Delaware,0,0,0,0,0,1,0,0,
42,2019,2,District of Columbia,0,0,0,0,0,0,0,0,
43,2019,2,Florida,0,0,0,0,0,2,1,1,
44,2019,2,Georgia,0,1,0,1,0,1,0,0,
45,2019,2,Maryland,0,1,0,0,0,0,0,0,
46,2019,2,North Carolina,0,0,0,0,0,1,0,0,
47,2019,2,South Carolina,0,0,0,0,0,0,0,0,
48,2019,2,Virginia,0,0,0,0,0,1,0,0,
49,2019,2,West Virginia,0,0,0,0,0,0,0,0,
50,2019,2,East South Central,0,0,0,0,0,1,0,0,
51,2019,2,Alabama,0,0,0,0,0,1,0,0,
52,2019,2,Kentucky,0,0,0,0,0,1,0,0,
53,2019,2,Mississippi,0,0,0,0,0,1,0,0,
54,2019,2,Tennessee,0,0,0,0,0,0,0,0,
55,2019,2,West South Central,0,2,0,0,0,2,0,0,
56,2019,2,Arkansas,0,1,0,0,0,0,0,0,
57,2019,2,Louisiana,0,0,0,0,0,0,0,0,
58,2019,2,Oklahoma,0,1,0,0,0,0,0,0,
59,2019,2,Texas,0,1,0,0,0,2,0,0,
60,2019,2,Mountain,0,1,0,1,0,0,0,1,
61,2019,2,Arizona,0,0,0,0,0,0,0,0,
62,2019,2,Colorado,0,1,0,0,0,0,0,0,
63,2019,2,Idaho,0,1,0,1,0,0,0,0,
64,2019,2,Montana,0,0,0,0,0,0,0,0,
65,2019,2,Nevada,0,0,0,0,0,0,0,0,
66,2019,2,New Mexico,0,0,0,0,0,0,0,1,
67,2019,2,Utah,0,0,0,0,0,0,0,0,
68,2019,2,Wyoming,0,0,0,0,0,0,0,0,
69,2019,2,Pacific,0,1,0,0,0,4,3,5,
70,2019,2,Alaska,0,0,0,0,0,0,0,0,
71,2019,2,California,0,0,0,0,0,4,1,5,
72,2019,2,Hawaii,0,0,0,0,0,1,0,0,
73,2019,2,Oregon,0,0,0,0,0,2,2,0,
74,2019,2,Washington,0,1,0,0,0,2,0,0,
75,2019,2,U.S. Territories,0,0,0,0,0,0,0,0,
76,2019,2,American Samoa,0,0,0,0,0,0,0,0,
77,2019,2,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
78,2019,2,Guam,0,0,0,0,0,0,0,0,
79,2019,2,Puerto Rico,0,0,0,0,0,0,0,0,
80,2019,2,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
81,2019,2,Non-U.S. Residents,0,NC,0,NP,0,NC,0,NP,
82,2019,2,Total,0,3,0,3,1,7,5,9,
13,2019,3,"U.S. Residents, excluding U.S. Territories",0,3,0,3,1,7,6,13,
14,2019,3,New England,0,0,0,0,0,1,0,0,
