,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups; Current week","Meningococcal disease, All serogroups; Previous 52 weeks Max �","Meningococcal disease, All serogroups; Cum YTD 2020 �","Meningococcal disease, All serogroups; Cum YTD 2019 �","Meningococcal disease, Serogroups ACWY; Current week","Meningococcal disease, Serogroups ACWY; Previous 52 weeks Max �","Meningococcal disease, Serogroups ACWY; Cum YTD 2020 �","Meningococcal disease, Serogroups ACWY; Cum YTD 2019 �","Meningococcal disease, Serogroup B; Current week","Meningococcal disease, Serogroup B; Previous 52 weeks Max �","Meningococcal disease, Serogroup B; Cum YTD 2020 �","Meningococcal disease, Serogroup B; Cum YTD 2019 �",column labels (in same order that data fields appears in each record below):
18,2020,1,"U.S. Residents, excluding U.S. Territories",3,24,3,10,0,7,0,5,0,4,0,1,
19,2020,1,New England,0,3,0,0,0,3,0,0,0,1,0,0,
20,2020,1,Connecticut,0,1,0,0,0,1,0,0,0,1,0,0,
21,2020,1,Maine,0,1,0,0,0,1,0,0,0,1,0,0,
22,2020,1,Massachusetts,0,2,0,0,0,2,0,0,0,1,0,0,
23,2020,1,New Hampshire,0,1,0,0,0,1,0,0,0,0,0,0,
24,2020,1,Rhode Island,0,1,0,0,0,1,0,0,0,0,0,0,
25,2020,1,Vermont,0,0,0,0,0,0,0,0,0,0,0,0,
26,2020,1,Middle Atlantic,0,4,0,1,0,1,0,0,0,2,0,1,
27,2020,1,New Jersey,0,2,0,0,0,0,0,0,0,0,0,0,
28,2020,1,New York (excluding New York City),0,2,0,1,0,1,0,0,0,2,0,1,
29,2020,1,New York City,0,1,0,0,0,0,0,0,0,0,0,0,
30,2020,1,Pennsylvania,0,3,0,0,0,0,0,0,0,0,0,0,
31,2020,1,East North Central,1,4,1,2,0,3,0,2,0,3,0,0,
32,2020,1,Illinois,0,1,0,0,0,1,0,0,0,1,0,0,
33,2020,1,Indiana,0,2,0,2,0,2,0,2,0,1,0,0,
34,2020,1,Michigan,0,3,0,0,0,1,0,0,0,1,0,0,
35,2020,1,Ohio,1,2,1,0,0,2,0,0,0,2,0,0,
36,2020,1,Wisconsin,0,1,0,0,0,1,0,0,0,1,0,0,
37,2020,1,West North Central,0,3,0,0,0,1,0,0,0,1,0,0,
38,2020,1,Iowa,0,1,0,0,0,0,0,0,0,0,0,0,
39,2020,1,Kansas,0,1,0,0,0,0,0,0,0,0,0,0,
40,2020,1,Minnesota,0,1,0,0,0,0,0,0,0,0,0,0,
41,2020,1,Missouri,0,2,0,0,0,0,0,0,0,0,0,0,
42,2020,1,Nebraska,0,1,0,0,0,1,0,0,0,0,0,0,
43,2020,1,North Dakota,0,1,0,0,0,1,0,0,0,1,0,0,
44,2020,1,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,
45,2020,1,South Atlantic,2,5,2,1,0,3,0,1,0,1,0,0,
46,2020,1,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,
47,2020,1,District of Columbia,0,1,0,0,0,0,0,0,0,0,0,0,
48,2020,1,Florida,1,2,1,1,0,1,0,1,0,1,0,0,
49,2020,1,Georgia,0,2,0,0,0,1,0,0,0,0,0,0,
50,2020,1,Maryland,1,1,1,0,0,1,0,0,0,0,0,0,
51,2020,1,North Carolina,0,2,0,0,0,2,0,0,0,1,0,0,
52,2020,1,South Carolina,0,1,0,0,0,0,0,0,0,0,0,0,
53,2020,1,Virginia,0,1,0,0,0,1,0,0,0,0,0,0,
54,2020,1,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,
55,2020,1,East South Central,0,2,0,0,0,1,0,0,0,1,0,0,
56,2020,1,Alabama,0,1,0,0,0,1,0,0,0,1,0,0,
57,2020,1,Kentucky,0,1,0,0,0,1,0,0,0,0,0,0,
58,2020,1,Mississippi,0,1,0,0,0,0,0,0,0,0,0,0,
59,2020,1,Tennessee,0,1,0,0,0,1,0,0,0,0,0,0,
60,2020,1,West South Central,0,3,0,0,0,2,0,0,0,1,0,0,
61,2020,1,Arkansas,0,1,0,0,0,1,0,0,0,1,0,0,
62,2020,1,Louisiana,0,1,0,0,0,1,0,0,0,0,0,0,
63,2020,1,Oklahoma,0,2,0,0,0,2,0,0,0,0,0,0,
64,2020,1,Texas,0,2,0,0,0,1,0,0,0,1,0,0,
65,2020,1,Mountain,0,2,0,0,0,1,0,0,0,1,0,0,
66,2020,1,Arizona,0,1,0,0,0,1,0,0,0,1,0,0,
67,2020,1,Colorado,0,2,0,0,0,1,0,0,0,1,0,0,
68,2020,1,Idaho,0,1,0,0,0,0,0,0,0,0,0,0,
69,2020,1,Montana,0,1,0,0,0,0,0,0,0,1,0,0,
70,2020,1,Nevada,0,1,0,0,0,1,0,0,0,0,0,0,
71,2020,1,New Mexico,0,1,0,0,0,0,0,0,0,0,0,0,
72,2020,1,Utah,0,1,0,0,0,1,0,0,0,1,0,0,
73,2020,1,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,
