,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2021 �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2021 �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �",column labels (in same order that data fields appears in each record below):
14,2021,1,"U.S. Residents, excluding U.S. Territories",0,2,0,1,0,8,0,5,
15,2021,1,New England,0,0,0,0,0,1,0,0,
16,2021,1,Connecticut,0,0,0,0,0,0,0,0,
17,2021,1,Maine,0,0,0,0,0,0,0,0,
18,2021,1,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,1,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,1,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,1,Vermont,0,0,0,0,0,0,0,0,
22,2021,1,Middle Atlantic,0,0,0,0,0,3,0,0,
23,2021,1,New Jersey,0,0,0,0,0,0,0,0,
24,2021,1,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,1,New York City,0,0,0,0,0,1,0,0,
26,2021,1,Pennsylvania,0,0,0,0,0,2,0,0,
27,2021,1,East North Central,0,1,0,1,0,1,0,0,
28,2021,1,Illinois,0,1,0,0,0,1,0,0,
29,2021,1,Indiana,0,1,0,0,0,1,0,0,
30,2021,1,Michigan,0,0,0,0,0,1,0,0,
31,2021,1,Ohio,0,1,0,1,0,1,0,0,
32,2021,1,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,1,West North Central,0,0,0,0,0,2,0,1,
34,2021,1,Iowa,0,0,0,0,0,1,0,0,
35,2021,1,Kansas,0,0,0,0,0,1,0,0,
36,2021,1,Minnesota,0,0,0,0,0,1,0,0,
37,2021,1,Missouri,0,0,0,0,0,2,0,1,
38,2021,1,Nebraska,0,0,0,0,0,0,0,0,
39,2021,1,North Dakota,0,0,0,0,0,0,0,0,
40,2021,1,South Dakota,0,0,0,0,0,0,0,0,
41,2021,1,South Atlantic,0,1,0,0,0,6,0,1,
42,2021,1,Delaware,0,0,0,0,0,1,0,0,
43,2021,1,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,1,Florida,0,0,0,0,0,4,0,1,
45,2021,1,Georgia,0,1,0,0,0,1,0,0,
46,2021,1,Maryland,0,0,0,0,0,2,0,0,
47,2021,1,North Carolina,0,0,0,0,0,1,0,0,
48,2021,1,South Carolina,0,0,0,0,0,0,0,0,
49,2021,1,Virginia,0,0,0,0,0,1,0,0,
50,2021,1,West Virginia,0,0,0,0,0,0,0,0,
51,2021,1,East South Central,0,1,0,0,0,1,0,0,
52,2021,1,Alabama,0,1,0,0,0,1,0,0,
53,2021,1,Kentucky,0,0,0,0,0,1,0,0,
54,2021,1,Mississippi,0,0,0,0,0,0,0,0,
55,2021,1,Tennessee,0,0,0,0,0,0,0,0,
56,2021,1,West South Central,0,1,0,0,0,2,0,0,
57,2021,1,Arkansas,0,0,0,0,0,2,0,0,
58,2021,1,Louisiana,0,0,0,0,0,1,0,0,
59,2021,1,Oklahoma,0,1,0,0,0,0,0,0,
60,2021,1,Texas,0,1,0,0,0,2,0,0,
61,2021,1,Mountain,0,1,0,0,0,2,0,0,
62,2021,1,Arizona,0,0,0,0,0,0,0,0,
63,2021,1,Colorado,0,0,0,0,0,2,0,0,
64,2021,1,Idaho,0,0,0,0,0,0,0,0,
65,2021,1,Montana,0,0,0,0,0,0,0,0,
66,2021,1,Nevada,0,1,0,0,0,0,0,0,
67,2021,1,New Mexico,0,0,0,0,0,0,0,0,
68,2021,1,Utah,0,0,0,0,0,0,0,0,
69,2021,1,Wyoming,0,0,0,0,0,0,0,0,
70,2021,1,Pacific,0,0,0,0,0,4,0,3,
71,2021,1,Alaska,0,0,0,0,0,0,0,0,
72,2021,1,California,0,0,0,0,0,3,0,2,
73,2021,1,Hawaii,0,0,0,0,0,0,0,0,
74,2021,1,Oregon,0,0,0,0,0,0,0,0,
75,2021,1,Washington,0,0,0,0,0,2,0,1,
76,2021,1,U.S. Territories,0,0,0,0,0,0,0,0,
77,2021,1,American Samoa,0,0,0,0,0,0,0,0,
78,2021,1,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2021,1,Guam,0,0,0,0,0,0,0,0,
80,2021,1,Puerto Rico,0,0,0,0,0,0,0,0,
81,2021,1,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2021,1,Non-U.S. Residents,0,0,0,0,0,0,0,0,
83,2021,1,Total,0,2,0,1,0,8,0,5,
14,2021,2,"U.S. Residents, excluding U.S. Territories",0,1,0,3,0,8,0,11,
15,2021,2,New England,0,0,0,0,0,1,0,0,
16,2021,2,Connecticut,0,0,0,0,0,0,0,0,
17,2021,2,Maine,0,0,0,0,0,0,0,0,
18,2021,2,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,2,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,2,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,2,Vermont,0,0,0,0,0,0,0,0,
22,2021,2,Middle Atlantic,0,0,0,0,0,3,0,1,
23,2021,2,New Jersey,0,0,0,0,0,0,0,0,
24,2021,2,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,2,New York City,0,0,0,0,0,1,0,0,
26,2021,2,Pennsylvania,0,0,0,0,0,2,0,1,
27,2021,2,East North Central,0,1,0,2,0,1,0,0,
28,2021,2,Illinois,0,1,0,1,0,1,0,0,
29,2021,2,Indiana,0,1,0,0,0,1,0,0,
30,2021,2,Michigan,0,0,0,0,0,1,0,0,
31,2021,2,Ohio,0,1,0,1,0,1,0,0,
32,2021,2,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,2,West North Central,0,0,0,0,0,2,0,3,
34,2021,2,Iowa,0,0,0,0,0,1,0,0,
35,2021,2,Kansas,0,0,0,0,0,1,0,0,
36,2021,2,Minnesota,0,0,0,0,0,1,0,0,
37,2021,2,Missouri,0,0,0,0,0,2,0,3,
38,2021,2,Nebraska,0,0,0,0,0,0,0,0,
39,2021,2,North Dakota,0,0,0,0,0,0,0,0,
