,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2007-02-28,41.92333333333333,42.0,7.735864585931023,41.0,42.0,41.0,43.0,40.0,43.0,40.0,44.0,39.0,44.0,39.0,45.0,38.0,45.0,38.0,46.0,37.0,47.0,37.0,47.0,35.275000000000006,48.0,35.0,49.0,35.0,49.0,34.0,50.0,33.0,51.0,32.0,52.0,31.0,53.0,30.0,54.05000000000001,26.0,57.0,24.7375,59.0,estimate,2007-01-31,0
1,2007-03-31,41.61,41.0,7.91116437315838,40.0,41.0,40.0,42.0,39.0,42.0,39.0,43.0,39.0,43.0,38.0,43.349999999999994,38.0,44.0,38.0,45.0,37.0,46.0,36.0,46.0,35.0,47.0,35.0,48.0,34.0,49.0,34.0,50.0,32.375,51.0,32.0,53.0,31.0,54.0,30.0,56.0,29.0,60.52499999999998,28.0,62.26249999999999,estimate,2007-01-31,0
2,2007-04-30,42.24666666666667,41.0,8.445328143242614,41.0,42.0,40.0,42.45000000000002,40.0,43.0,40.0,44.0,39.0,44.0,39.0,45.0,38.0,46.0,37.0,46.29999999999998,36.0,48.0,36.0,48.0,35.0,49.0,34.800000000000004,50.0,34.0,50.0,33.0,51.0,33.0,52.625,32.0,53.10000000000002,31.0,55.0,30.0,56.0,28.475,58.52499999999998,27.0,62.0,estimate,2007-01-31,0
3,2007-05-31,41.21,41.0,8.34293605032421,40.0,41.0,40.0,41.0,39.0,42.0,38.60000000000001,42.400000000000006,38.0,43.0,38.0,44.0,37.175,44.0,36.0,45.0,36.0,45.775000000000006,35.0,46.0,35.0,47.0,34.0,48.0,33.324999999999996,49.0,33.0,50.0,32.0,51.0,32.0,52.10000000000002,31.0,55.0,29.0,56.0,26.475,58.52499999999998,22.0,61.26249999999999,estimate,2007-01-31,0
4,2007-06-30,41.803333333333335,42.0,8.43455955410802,41.0,42.974999999999994,41.0,43.0,40.0,43.0,40.0,44.0,39.0,44.0,38.0,44.0,38.0,45.0,37.0,45.29999999999998,36.0,46.0,36.0,47.0,35.0,47.0,34.0,48.0,34.0,49.0,33.0,51.0,32.0,52.0,31.0,54.0,30.425,55.57499999999999,29.0,58.0,25.475,59.0,24.7375,60.26249999999999,estimate,2007-01-31,0
5,2007-07-31,41.24,40.0,8.505500875933272,40.0,40.0,39.0,42.0,39.0,42.0,38.0,42.0,38.0,43.0,37.0,43.349999999999994,37.0,44.0,36.0,45.0,36.0,46.0,35.0,47.0,35.0,48.0,34.0,49.0,33.324999999999996,49.0,33.0,50.0,32.0,50.0,31.0,52.0,30.0,54.0,29.0,57.0,26.475,60.0,24.7375,62.0,estimate,2007-01-31,0
6,2007-08-31,40.86333333333334,40.0,8.987430216430408,39.0,40.0,39.0,41.45000000000002,38.075,42.0,38.0,43.0,38.0,44.0,37.0,44.0,36.0,45.0,36.0,45.29999999999998,35.0,46.0,35.0,47.0,35.0,48.0,34.0,48.0,33.0,49.0,32.0,50.0,31.0,50.625,30.0,52.0,29.0,54.0,27.0,56.05000000000001,25.0,60.52499999999998,23.0,62.52499999999998,estimate,2007-01-31,0
7,2007-09-30,41.01,40.0,9.211917902268077,39.025000000000006,41.0,39.0,41.0,39.0,41.0,38.0,42.0,38.0,43.0,37.0,43.0,37.0,44.0,36.0,44.29999999999998,36.0,45.0,35.0,46.25,34.0,48.0,34.0,48.20000000000002,33.0,50.0,32.0,51.0,31.0,51.0,30.0,53.0,28.425,55.0,27.0,57.0,25.0,60.0,23.7375,63.26249999999999,estimate,2007-01-31,0
8,2007-10-31,41.92333333333333,41.0,9.60163668229632,40.025000000000006,41.0,39.0,42.0,39.0,42.92499999999998,38.0,43.0,38.0,44.0,37.0,44.0,36.0,45.0,36.0,46.0,36.0,46.775000000000006,35.0,48.0,35.0,49.0,34.0,49.20000000000002,34.0,50.0,33.0,51.0,31.375,52.0,30.900000000000002,53.10000000000002,29.0,56.0,28.950000000000003,58.0,28.0,67.52499999999998,27.0,70.78749999999997,estimate,2007-01-31,0
9,2007-11-30,41.32333333333333,40.0,9.668698706192368,40.0,41.0,39.0,41.45000000000002,39.0,42.0,38.0,43.0,37.0,44.0,37.0,44.349999999999994,36.0,45.0,35.7,45.29999999999998,35.0,47.0,34.0,47.0,34.0,48.0,33.0,49.0,32.324999999999996,50.0,31.0,52.0,31.0,53.0,29.0,54.0,28.0,55.57499999999999,27.950000000000003,59.0,25.475,62.52499999999998,24.7375,64.26249999999999,estimate,2007-01-31,0
10,2007-12-31,41.89,41.0,9.539456874382,40.0,42.0,40.0,42.0,39.075,43.0,39.0,43.0,38.0,44.0,37.64999999999999,45.0,37.0,46.0,37.0,47.0,36.0,47.0,35.0,48.0,35.0,48.724999999999994,34.0,49.0,33.0,51.0,32.85,52.0,31.0,53.0,30.0,55.0,29.0,57.0,27.950000000000003,58.0,26.0,62.0,24.7375,65.52499999999998,estimate,2007-01-31,0
11,2008-01-31,41.38666666666666,40.5,9.36497899950088,40.0,41.0,40.0,42.0,39.0,42.0,38.0,43.0,38.0,43.0,37.0,44.0,36.175,44.0,36.0,45.0,35.0,46.0,35.0,47.0,34.0,48.0,33.0,49.0,33.0,50.0,32.0,51.150000000000006,32.0,53.0,30.900000000000002,54.0,28.0,56.0,27.950000000000003,59.0,25.0,62.0,24.0,65.0,estimate,2007-01-31,0
12,2008-02-29,41.63,40.0,9.953055361887088,40.0,41.0,39.0,41.45000000000002,38.0,42.0,37.60000000000001,42.0,37.0,43.875,36.64999999999999,44.0,36.0,45.0,36.0,45.0,36.0,47.0,35.0,48.0,34.0,49.0,33.0,49.0,33.0,50.0,31.85,52.150000000000006,31.0,55.0,30.0,56.0,29.0,57.0,28.0,59.05000000000001,26.475,62.0,24.7375,68.04999999999995,estimate,2007-01-31,0
