,date,mean,median,std,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,type,forecast_date,add
0,2015-09-30,13.726666666666667,14.0,4.066991963888873,13.0,14.0,13.0,14.0,13.0,14.0,13.0,15.0,12.0,15.0,12.0,15.0,12.0,16.0,11.0,16.0,11.0,16.0,11.0,17.0,10.0,17.0,10.0,17.0,10.0,18.0,9.850000000000001,18.0,9.0,18.0,9.0,19.0,8.0,19.0,7.0,20.0,6.0,22.0,5.0,23.0,estimate,2015-12-31,0
1,2015-10-31,13.846666666666666,14.0,4.332712415852666,13.0,14.0,13.0,14.0,13.0,14.924999999999983,12.0,15.0,12.0,15.0,12.0,15.0,12.0,16.0,11.0,16.0,11.0,16.775000000000006,11.0,17.0,10.0,17.0,10.0,18.0,10.0,18.0,9.0,18.0,9.0,19.0,8.0,19.0,8.0,20.0,7.0,21.05000000000001,6.0,23.0,6.0,24.524999999999977,estimate,2015-12-31,0
2,2015-11-30,13.853333333333333,13.0,4.407179710300589,13.0,14.0,13.0,14.0,13.0,14.0,12.0,15.0,12.0,15.0,12.0,15.0,12.0,16.0,11.0,16.0,11.0,16.775000000000006,11.0,17.0,11.0,17.0,10.0,17.0,10.0,18.0,9.0,19.0,9.0,19.0,8.900000000000002,20.0,8.0,21.0,7.0,22.0,6.0,23.0,5.0,23.0,estimate,2015-12-31,0
3,2015-12-31,14.283333333333333,14.0,4.169051714264242,14.0,14.0,13.0,14.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,16.0,12.0,16.0,12.0,16.0,12.0,16.775000000000006,11.0,17.0,11.0,17.0,11.0,17.0,10.324999999999996,18.0,10.0,18.0,10.0,19.0,9.0,19.0,9.0,20.0,8.0,21.05000000000001,7.0,23.0,7.0,26.26249999999999,estimate,2015-12-31,0
4,2016-01-31,14.003333333333334,14.0,4.012104038815942,14.0,14.0,13.0,14.0,13.0,15.0,13.0,15.0,13.0,15.0,12.649999999999991,16.0,12.0,16.0,12.0,16.0,11.0,16.0,11.0,16.0,11.0,17.0,11.0,17.0,10.0,17.674999999999983,10.0,18.0,9.0,19.0,9.0,19.0,8.0,20.0,8.0,21.0,7.0,22.524999999999977,6.0,23.26249999999999,estimate,2015-12-31,0
5,2016-02-29,14.1,14.0,4.411523371981441,14.0,14.0,13.0,14.0,13.0,15.0,13.0,15.0,12.125,15.0,12.0,16.0,12.0,16.0,11.0,17.0,11.0,17.0,11.0,17.0,10.0,17.0,10.0,18.0,10.0,18.0,9.850000000000001,19.0,9.0,19.0,9.0,20.0,8.0,20.0,7.0,21.0,6.4750000000000005,24.0,6.0,25.0,estimate,2015-12-31,0
6,2016-03-31,14.18,14.0,4.525025175930999,13.0,14.0,13.0,14.0,13.0,14.0,13.0,15.0,12.0,15.0,12.0,15.0,12.0,16.0,12.0,16.0,11.0,17.0,11.0,17.0,11.0,18.0,11.0,18.0,10.0,19.0,10.0,19.0,9.0,20.0,9.0,20.0,8.0,21.0,7.950000000000001,22.0,6.0,23.0,5.0,25.0,estimate,2015-12-31,0
7,2016-04-30,14.393333333333333,14.0,4.388944253586793,14.0,15.0,14.0,15.0,13.0,15.0,13.0,15.0,13.0,16.0,12.0,16.0,12.0,16.0,12.0,17.0,12.0,17.0,11.0,17.0,11.0,18.0,11.0,18.0,10.0,19.0,10.0,19.0,10.0,19.0,9.0,20.0,8.0,21.0,8.0,21.05000000000001,7.0,24.524999999999977,5.0,25.0,estimate,2015-12-31,0
8,2016-05-31,14.53,14.0,4.540685640622629,13.025000000000006,14.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,16.0,12.0,16.0,12.0,17.0,12.0,17.0,12.0,17.0,11.0,18.0,11.0,18.0,11.0,18.0,11.0,19.0,10.0,19.0,10.0,20.0,9.0,20.100000000000023,9.0,21.0,8.0,23.0,6.4750000000000005,24.524999999999977,5.737500000000001,25.26249999999999,estimate,2015-12-31,0
9,2016-06-30,14.456666666666667,14.0,4.486485342073202,14.0,15.0,14.0,15.0,14.0,15.0,13.0,16.0,13.0,16.0,12.649999999999991,16.0,12.0,16.825000000000017,12.0,17.0,11.0,17.0,11.0,17.0,11.0,18.0,10.0,18.0,10.0,18.0,10.0,19.0,9.0,20.0,9.0,20.0,9.0,21.0,8.0,22.0,6.0,23.524999999999977,5.737500000000001,25.26249999999999,estimate,2015-12-31,0
10,2016-07-31,14.263333333333334,14.0,4.313080620277369,14.0,14.0,13.0,14.0,13.0,15.0,13.0,15.0,13.0,15.0,12.0,16.0,12.0,16.0,12.0,17.0,12.0,17.0,11.0,17.0,11.0,17.0,10.0,18.0,10.0,18.0,10.0,19.0,9.0,19.0,9.0,20.0,8.0,21.0,8.0,22.0,7.0,23.0,6.737500000000001,24.524999999999977,estimate,2015-12-31,0
