date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2014-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,10.323333333678061,10.000000000330056,10.000000000330056,10.000000000330056,10.000000000330056,10.450000000390583,10.000000000220037,11.000000000330056,9.000000000330056,11.000000000330056,9.000000000330056,11.000000000330056,9.000000000330056,12.000000000330058,8.000000000440075,12.000000000330058,8.000000000330056,12.000000000363062,8.000000000330056,12.000000000440076,7.000000000330057,13.000000000330058,7.000000000330057,13.000000000440076,7.000000000330057,13.000000000440076,7.000000000330057,14.00000000040432,6.000000000330057,14.000000000440076,6.000000000330057,14.000000000440076,6.000000000330057,15.000000000440076,5.000000000330056,16.000000000440075,5.000000000324555,17.000000000330058,4.000000000330056,18.000000000330058,4.000000000220037,18.262500000411183
2015-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
