date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,11.799677367004263,11.817177367004264,11.472161023499806,11.915231266503021,11.129730020593332,12.016826033478269,10.789469993382435,12.372532066299751,10.450992941697,12.73300688070386,10.363926688416324,13.099020983393721,10.027904524208042,13.721492212452318,9.692554230031794,14.101532500279738,9.357485483641874,14.490513225188675,9.272274271561042,14.6401590989279,8.686442204316954,15.052687252417975,8.349427279639883,15.231020653535998,8.260540027726826,15.929129423401577,8.000143660351052,16.490104659677762,7.5732852293637825,16.909684754286026,7.221976914177985,17.463242232346698,6.612250855861684,18.33505784255592,6.48936748473975,19.066491461680513,5.593547942818286,20.7520404191379,4.765785358404923,22.70164516440493,4.245953275063391,24.94580156138793,0.0
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
