eval_horizon,mae,error,wis,type,frsct_date,method
1m,16.000000000000007,16.000000000000007,29.98894276428554,imd_incidence,2006-12-31,arima
2m,9.500000000000007,9.500000000000007,26.12152148504179,imd_incidence,2006-12-31,arima
3m,8.333333333333336,4.33333333333334,26.93961500648363,imd_incidence,2006-12-31,arima
4m,10.5,-0.9999999999999929,30.202400469128108,imd_incidence,2006-12-31,arima
5m,10.600000000000001,1.400000000000007,32.257619756145,imd_incidence,2006-12-31,arima
6m,11.333333333333336,3.6666666666666736,34.79971675723742,imd_incidence,2006-12-31,arima
1m,8.053333333333335,8.0,15.029634146341461,imd_incidence,2006-12-31,eakf_model1
2m,7.025000000000002,0.75,13.840106707317075,imd_incidence,2006-12-31,eakf_model1
3m,9.172222222222224,-4.166666666666667,17.231392276422767,imd_incidence,2006-12-31,eakf_model1
4m,13.339166666666669,-9.875,24.682324695121956,imd_incidence,2006-12-31,eakf_model1
5m,11.367333333333335,-7.3,22.066987804878053,imd_incidence,2006-12-31,eakf_model1
6m,10.507777777777779,-5.25,20.653836382113823,imd_incidence,2006-12-31,eakf_model1
1m,3.9566666666666634,-4.0,10.732865853658534,imd_incidence,2006-12-31,eakf_model2
2m,10.351666666666667,-11.0,20.188917682926828,imd_incidence,2006-12-31,eakf_model2
3m,14.956666666666665,-15.666666666666666,28.114334349593502,imd_incidence,2006-12-31,eakf_model2
4m,19.979999999999997,-20.75,37.33945503048781,imd_incidence,2006-12-31,eakf_model2
5m,17.205999999999996,-18.0,32.8808506097561,imd_incidence,2006-12-31,eakf_model2
6m,14.511111111111111,-15.416666666666666,29.481951219512197,imd_incidence,2006-12-31,eakf_model2
1m,10.883333333333333,10.0,19.629100609756097,imd_incidence,2006-12-31,eakf_model3
2m,6.011666666666667,5.0,17.432660060975607,imd_incidence,2006-12-31,eakf_model3
3m,6.719999999999999,0.0,18.66776930894309,imd_incidence,2006-12-31,eakf_model3
4m,10.3575,-5.5,23.585255335365854,imd_incidence,2006-12-31,eakf_model3
5m,8.770666666666667,-4.2,22.032573170731705,imd_incidence,2006-12-31,eakf_model3
6m,7.572222222222222,-3.3333333333333335,20.501836890243904,imd_incidence,2006-12-31,eakf_model3
1m,328.0,328.0,,imd_incidence,2006-12-31,sarima
2m,347.50000000000017,347.50000000000017,,imd_incidence,2006-12-31,sarima
3m,395.5714285714289,395.5714285714289,,imd_incidence,2006-12-31,sarima
4m,411.28571428571456,411.28571428571456,,imd_incidence,2006-12-31,sarima
5m,389.1714285714288,389.1714285714288,,imd_incidence,2006-12-31,sarima
6m,371.3809523809526,371.3809523809526,,imd_incidence,2006-12-31,sarima
1m,13.0,-13.0,22.298172637725724,imd_incidence,2007-01-31,arima
2m,17.5,-17.5,29.61944687400645,imd_incidence,2007-01-31,arima
3m,22.666666666666668,-22.666666666666668,38.03425033865229,imd_incidence,2007-01-31,arima
4m,18.25,-18.25,34.73917401463178,imd_incidence,2007-01-31,arima
5m,14.8,-14.8,33.29260840700117,imd_incidence,2007-01-31,arima
