eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
1m,8.72093022782645,-8.72093022782667,14.917688228285012,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
2m,11.453488367983136,-11.453488367983477,19.769086501657757,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
3m,11.457364337106329,-11.457364337106753,19.63649517077482,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
4m,9.779069763472876,-9.779069763473615,17.698810116228675,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
5m,11.288372091110814,-4.358139530446785,20.862155265976103,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
6m,11.031007751338436,-2.0077519332931324,21.35838880863522,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
1m,8.720930227828333,-8.720930227829143,14.917688228288839,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
2m,11.453488367991415,-11.4534883679922,19.76908650167346,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
3m,11.45736433711677,-11.457364337117662,19.636495170792557,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
4m,9.779069763482795,-9.779069763483605,17.698810116242978,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
5m,11.288372091122003,-4.358139530451291,20.86215526599384,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
6m,11.031007751351522,-2.0077519332930023,21.358388808655203,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
1m,8.720930227833321,-8.720930227833705,14.917688228296687,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
2m,11.453488367998995,-11.453488367999368,19.769086501686928,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
3m,11.457364337124977,-11.457364337125403,19.636495170806338,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
4m,9.779069763491083,-9.77906976349147,17.698810116254915,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
5m,11.288372091128839,-4.358139530457288,20.86215526600412,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
6m,11.031007751357132,-2.007751933298026,21.35838880866432,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
1m,8.720930227828944,-8.720930227829697,14.917688228289801,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
2m,11.45348836799234,-11.453488367993069,19.76908650167511,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
3m,11.457364337117772,-11.4573643371186,19.636495170794234,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
4m,9.779069763483808,-9.779069763484562,17.698810116244438,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
5m,11.288372091122836,-4.358139530452026,20.86215526599509,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
6m,11.031007751352197,-2.0077519332936227,21.358388808656308,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
1m,0.80333333316878,-1.3366019402383245e-10,9.75780487802831,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
2m,3.028333333206131,2.249999999899753,10.730655487772182,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
3m,4.21999999989589,3.3333333332590747,11.55051321135065,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
4m,6.054166666547335,5.249999999899753,13.651676829183078,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
5m,7.917333333172493,7.099999999852973,16.256021341277116,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
6m,8.373888888666245,7.583333333121707,16.66745680865121,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
1m,1.6166666659669389,1.4999999993089332,9.328643292303543,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
2m,3.454999999280581,3.249999999295806,10.453856706837982,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
3m,6.019999999305942,5.83333333265314,13.438699186402884,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
4m,7.671666666450582,7.6249999997873825,15.621124237959377,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
5m,6.939333333409931,6.7000000000943745,14.689417683419293,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
6m,11.521666666782494,11.250000000136007,22.993564533066998,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
1m,7.804878079941567,-7.804878079943606,13.37893434706373,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
2m,6.231707349273805,-6.231707349277386,12.262295458640601,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
3m,4.983739847081769,-3.3252032852865603,12.342890045188792,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
4m,10.993902431857789,4.7621950825831725,23.00545492244297,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
5m,12.956097544324129,7.970731664900908,26.683804081577676,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
6m,17.235772335098904,13.081300768911627,34.823908747571686,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
1m,7.804878080076946,-7.804878080077373,13.378934347270222,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
2m,6.231707349417299,-6.231707349417764,12.262295458802686,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
3m,4.983739847133752,-3.32520328542333,12.342890045287662,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
4m,10.993902431960265,4.762195082542128,23.00545492264622,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
5m,12.956097544460135,7.970731664925412,26.683804081845132,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
6m,17.2357723352269,13.081300768947544,34.823908747830146,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
1m,7.804878080084848,-7.804878080085153,13.378934347281982,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
2m,6.231707349424262,-6.231707349424596,12.262295458810842,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
3m,4.983739847136566,-3.325203285429614,12.342890045292885,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
4m,10.993902431964568,4.762195082539696,23.00545492265467,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
5m,12.956097544464829,7.9707316649247755,26.683804081854746,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
6m,17.235772335230145,13.081300768946463,34.82390874783719,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
1m,7.8048780800814015,-7.804878080081757,13.378934347276848,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
2m,6.231707349421228,-6.231707349421619,12.262295458807285,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
3m,4.98373984713534,-3.3252032854268756,12.342890045290604,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
4m,10.993902431962688,4.762195082540751,23.00545492265098,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
5m,12.956097544462773,7.9707316649250455,26.68380408185054,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
6m,17.235772335228717,13.081300768946925,34.823908747834096,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
1m,5.18999999995679,4.99999999995768,11.609131097522928,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
2m,5.206666666645486,4.99999999997884,11.569596036566637,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
3m,7.3055555555400105,6.999999999985891,14.306895325188874,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
4m,9.124166666649103,8.749999999986395,17.006147103638288,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
5m,9.39333333330366,8.999999999972188,17.197469512158452,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
6m,15.347222222175965,14.833333333290005,28.492888719440415,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
1m,2.749999999997584,2.999999999987054,9.755792682929734,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
2m,6.554999999987338,6.499999999981668,14.118208841444474,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
3m,9.427777777762687,8.999999999984189,18.144837398350493,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
4m,9.370833333322661,8.999999999988141,17.816878810958237,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
5m,15.490666666669267,15.00000000000387,29.27600609756742,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
6m,14.754999999984186,10.666666666686707,27.665909552825774,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
1m,2.750000000048175,3.0000000000224105,9.75579268294277,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
2m,6.555000000025807,6.500000000011205,14.118208841469729,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
3m,9.427777777784426,9.000000000000002,18.14483739836126,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
4m,9.370833333336714,9.000000000000002,17.81687881095951,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
5m,15.490666666687193,15.000000000017929,29.27600609758371,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
6m,14.754999999982722,10.666666666715221,27.665909552814938,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
1m,2.7500000337582406,3.0000000157015094,9.755792694096684,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
2m,6.555000018082904,6.500000007850755,14.118208845886285,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
3m,9.427777782435891,9.000000000000002,18.144837389455798,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
4m,9.370833335701644,9.000000000000002,17.816878799689615,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
5m,15.490666681049248,15.000000012561207,29.27600611348819,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
6m,14.754999987892392,10.6666667006866,27.665909531408307,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
1m,3.6666666166670296,3.6666666166429067,9.908284981589334,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
2m,7.499999948409329,7.499999948390386,15.888705702489005,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
3m,19.444444381121894,19.444444381102475,38.021589805896056,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
4m,23.16666659867864,23.166666598664655,44.89517426632788,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
5m,28.13333327486265,28.133333274846386,54.645615446486,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
6m,26.499999938415424,26.499999938401288,52.822728023588574,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
1m,3.66666661666207,3.666666616641571,9.908284981585911,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
2m,7.499999948408497,7.499999948392407,15.888705702494406,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
3m,19.444444381161002,19.444444381144503,38.02158980597818,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
4m,23.166666598733535,23.166666598721655,44.89517426644059,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
5m,28.13333327490983,28.13333327489601,54.64561544658469,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
6m,26.49999993846829,26.49999993845628,52.822728023697785,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
1m,3.6666666166580484,3.6666666166404767,9.90828498158313,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
2m,7.499999948407826,7.499999948394027,15.888705702498775,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
3m,19.444444381192678,19.44444438117853,38.02158980604471,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
4m,23.166666598778004,23.16666659876782,44.895174266531896,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
5m,28.133333274948047,28.1333332749362,54.645615446664635,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
