eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
1m,3.0870757368348265,-3.3401354425043124,9.602096626418616,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
2m,1.8061417427119224,-1.5649561458565415,9.623195631903485,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
3m,2.051711939403797,-0.34106738741690873,9.904307288119599,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
4m,3.144086360844028,1.192635704271483,10.853470301706851,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
5m,4.807124627108662,3.0847784934967946,12.794410955251557,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
6m,4.597138435699356,3.0659553355011333,12.689139393463076,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
1m,0.1279860873230092,-0.6183844214075123,9.498890479985995,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
2m,2.0014551566192296,1.2783119458707048,10.007861943404215,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
3m,3.108348190098603,2.2845533547255243,10.669672474285496,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
4m,4.931462265834094,4.184317513807226,12.56318103631415,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
5m,7.046903117122315,6.287525321472965,15.479915463193826,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
6m,7.637746667041459,6.90324788834531,16.066338747500946,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
1m,0.80333333314735,-1.510684910499549e-10,9.757804878025645,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
2m,3.0283333331895648,2.2499999998867004,10.730655487767928,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
3m,4.219999999882333,3.3333333332494086,11.550513211346555,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
4m,6.054166666531794,5.249999999886702,13.651676829171981,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
5m,7.917333333151545,7.099999999833829,16.256021341252847,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
6m,8.373888888637248,7.583333333094147,16.667456808613196,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
1m,0.8033333330366119,-2.410232013971836e-10,9.757804878011871,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
2m,3.0283333331039586,2.2499999998192344,10.730655487745922,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
3m,4.219999999812269,3.333333333199434,11.550513211325379,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
4m,6.054166666451485,5.249999999819236,13.65167682911463,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
