,model_name,weigth,date_forecast,forecast_window
0,arima,6.372777862686917e-134,2007-06-30,1m
1,eakf_model1,0.2353490326905559,2007-06-30,1m
2,eakf_model2,2e-323,2007-06-30,1m
3,eakf_model3,0.5817816612855244,2007-06-30,1m
4,sarima,0.1828693060239197,2007-06-30,1m
0,arima,1.6722894133215544e-108,2007-06-30,2m
1,eakf_model1,0.9290919195660822,2007-06-30,2m
2,eakf_model2,1.3827382032341644e-92,2007-06-30,2m
3,eakf_model3,1.130251873709346e-10,2007-06-30,2m
4,sarima,0.0709080803208926,2007-06-30,2m
0,arima,6.261600052368704e-52,2007-06-30,3m
1,eakf_model1,0.9999999999496444,2007-06-30,3m
2,eakf_model2,1.906954337605902e-68,2007-06-30,3m
3,eakf_model3,5.0355629460620505e-11,2007-06-30,3m
4,sarima,8.561330671557446e-20,2007-06-30,3m
0,arima,4.787050935456695e-75,2007-06-30,4m
1,eakf_model1,0.9999999999196604,2007-06-30,4m
2,eakf_model2,7.285565255687827e-99,2007-06-30,4m
3,eakf_model3,8.033966412578353e-11,2007-06-30,4m
4,sarima,1.9019456484680202e-109,2007-06-30,4m
0,arima,2.063477181727928e-70,2007-06-30,5m
1,eakf_model1,0.999999999955448,2007-06-30,5m
2,eakf_model2,7.543466352338853e-80,2007-06-30,5m
3,eakf_model3,4.455185389559704e-11,2007-06-30,5m
4,sarima,3.574619450151667e-238,2007-06-30,5m
0,arima,2.1e-322,2007-06-30,6m
1,eakf_model1,9.285268938401014e-08,2007-06-30,6m
2,eakf_model2,4.15e-322,2007-06-30,6m
3,eakf_model3,0.9999999071473106,2007-06-30,6m
4,sarima,0.0,2007-06-30,6m
0,arima,7.22032180660563e-182,2007-07-31,1m
1,eakf_model1,0.2610307644197415,2007-07-31,1m
2,eakf_model2,1.7156070628030572e-284,2007-07-31,1m
3,eakf_model3,0.7233512862276279,2007-07-31,1m
4,sarima,0.0156179493526305,2007-07-31,1m
0,arima,0.0,2007-07-31,2m
1,eakf_model1,0.8638244555959257,2007-07-31,2m
2,eakf_model2,0.0,2007-07-31,2m
3,eakf_model3,8.289912915265632e-09,2007-07-31,2m
4,sarima,0.1361755361141614,2007-07-31,2m
0,arima,6.186860847087034e-135,2007-07-31,3m
1,eakf_model1,0.9999999999408086,2007-07-31,3m
2,eakf_model2,3.92081799039342e-59,2007-07-31,3m
3,eakf_model3,5.919155765284991e-11,2007-07-31,3m
4,sarima,5.044029320136257e-17,2007-07-31,3m
0,arima,4.390901670910356e-86,2007-07-31,4m
1,eakf_model1,0.9999999999649748,2007-07-31,4m
2,eakf_model2,4.276935740306553e-54,2007-07-31,4m
3,eakf_model3,3.502508086395608e-11,2007-07-31,4m
4,sarima,1.0106018027298817e-44,2007-07-31,4m
0,arima,2.3138444105744169e-94,2007-07-31,5m
1,eakf_model1,0.999999999948305,2007-07-31,5m
2,eakf_model2,1.9462045226472697e-73,2007-07-31,5m
3,eakf_model3,5.169484104397437e-11,2007-07-31,5m
4,sarima,6.008464046755427e-113,2007-07-31,5m
0,arima,4.5169728250824425e-48,2007-07-31,6m
1,eakf_model1,0.9999999999879088,2007-07-31,6m
2,eakf_model2,5.5508057084015375e-43,2007-07-31,6m
3,eakf_model3,1.2091297520930012e-11,2007-07-31,6m
4,sarima,4.212524772706975e-158,2007-07-31,6m
0,arima,5.159240482963358e-93,2007-08-31,1m
1,eakf_model1,2.4268617411609143e-10,2007-08-31,1m
2,eakf_model2,2.163043004447842e-113,2007-08-31,1m
3,eakf_model3,0.999999999757314,2007-08-31,1m
4,sarima,6.194636039138848e-19,2007-08-31,1m
0,arima,3e-323,2007-08-31,2m
1,eakf_model1,0.9999995019796722,2007-08-31,2m
2,eakf_model2,3e-323,2007-08-31,2m
3,eakf_model3,4.980203277932606e-07,2007-08-31,2m
4,sarima,3.4e-322,2007-08-31,2m
0,arima,6.468548716771762e-189,2007-08-31,3m
1,eakf_model1,0.9999999998834068,2007-08-31,3m
2,eakf_model2,2.380301854315346e-81,2007-08-31,3m
3,eakf_model3,1.1659322644944109e-10,2007-08-31,3m
4,sarima,3.676582643385058e-28,2007-08-31,3m
0,arima,1.861225835416396e-163,2007-08-31,4m
1,eakf_model1,0.9999999999574616,2007-08-31,4m
2,eakf_model2,1.3593325278996892e-48,2007-08-31,4m
3,eakf_model3,4.253861623061107e-11,2007-08-31,4m
4,sarima,1.5265152515822863e-41,2007-08-31,4m
0,arima,2.1975546695840994e-124,2007-08-31,5m
1,eakf_model1,0.9999999999632824,2007-08-31,5m
2,eakf_model2,3.2837088842442944e-51,2007-08-31,5m
3,eakf_model3,3.6717706045979737e-11,2007-08-31,5m
4,sarima,8.458035531957595e-71,2007-08-31,5m
0,arima,4.423561947006711e-75,2007-08-31,6m
1,eakf_model1,0.9999999999838688,2007-08-31,6m
2,eakf_model2,9.468616970239257e-42,2007-08-31,6m
3,eakf_model3,1.6131015520037075e-11,2007-08-31,6m
4,sarima,2.0368387170949058e-91,2007-08-31,6m
0,arima,5.127056486197448e-70,2007-09-30,1m
1,eakf_model1,1.0910889896154178e-10,2007-09-30,1m
2,eakf_model2,3.655864884430017e-71,2007-09-30,1m
3,eakf_model3,0.9999999998902656,2007-09-30,1m
4,sarima,6.253649094117912e-13,2007-09-30,1m
0,arima,0.0,2007-09-30,2m
1,eakf_model1,1.639389604218106e-09,2007-09-30,2m
2,eakf_model2,3.840501359849366e-232,2007-09-30,2m
3,eakf_model3,0.9999999983606104,2007-09-30,2m
4,sarima,4.893498820894046e-63,2007-09-30,2m
0,arima,5.2883332879706565e-260,2007-09-30,3m
1,eakf_model1,0.9999999997667176,2007-09-30,3m
2,eakf_model2,5.6474025785333264e-93,2007-09-30,3m
3,eakf_model3,2.3328257720897723e-10,2007-09-30,3m
4,sarima,2.5966414515047683e-74,2007-09-30,3m
0,arima,1.8512710657307745e-231,2007-09-30,4m
1,eakf_model1,0.9999999999088162,2007-09-30,4m
2,eakf_model2,3.188187010036309e-75,2007-09-30,4m
3,eakf_model3,9.118382368476996e-11,2007-09-30,4m
4,sarima,1.2833912224199277e-58,2007-09-30,4m
0,arima,3.649099540072809e-241,2007-09-30,5m
1,eakf_model1,0.9999999999381726,2007-09-30,5m
2,eakf_model2,1.195306456572004e-54,2007-09-30,5m
3,eakf_model3,6.182745446094279e-11,2007-09-30,5m
4,sarima,1.3033147734503494e-74,2007-09-30,5m
0,arima,2.1523477067649347e-115,2007-09-30,6m
1,eakf_model1,0.999999999981026,2007-09-30,6m
2,eakf_model2,6.80179777599382e-36,2007-09-30,6m
3,eakf_model3,1.897383113561458e-11,2007-09-30,6m
4,sarima,5.871211086202618e-73,2007-09-30,6m
0,arima,4.8220483553180536e-107,2007-10-31,1m
1,eakf_model1,5.355522681969557e-16,2007-10-31,1m
2,eakf_model2,2.314035684993425e-89,2007-10-31,1m
3,eakf_model3,0.999999999299956,2007-10-31,1m
4,sarima,7.000434259716212e-10,2007-10-31,1m
0,arima,1.2365696e-315,2007-10-31,2m
1,eakf_model1,8.703879808636338e-10,2007-10-31,2m
2,eakf_model2,4.3455770731161435e-133,2007-10-31,2m
3,eakf_model3,0.999999999129612,2007-10-31,2m
4,sarima,9.060855892604422e-56,2007-10-31,2m
0,arima,3.5e-323,2007-10-31,3m
1,eakf_model1,0.9999999988976952,2007-10-31,3m
2,eakf_model2,5.2500044047317814e-164,2007-10-31,3m
3,eakf_model3,1.102304689322827e-09,2007-10-31,3m
4,sarima,4.620191313412254e-108,2007-10-31,3m
0,arima,0.0,2007-10-31,4m
1,eakf_model1,0.9999999993436708,2007-10-31,4m
2,eakf_model2,1.2202766934161719e-155,2007-10-31,4m
3,eakf_model3,6.563293256267923e-10,2007-10-31,4m
4,sarima,1.2855365381250408e-153,2007-10-31,4m
0,arima,0.0,2007-10-31,5m
1,eakf_model1,0.9999999983583704,2007-10-31,5m
2,eakf_model2,9.82637035631832e-281,2007-10-31,5m
3,eakf_model3,1.6416297790237254e-09,2007-10-31,5m
4,sarima,2.1269262866610856e-269,2007-10-31,5m
0,arima,1.0976693291548331e-271,2007-10-31,6m
1,eakf_model1,0.9999999999424324,2007-10-31,6m
2,eakf_model2,5.492975413952198e-51,2007-10-31,6m
3,eakf_model3,5.756762450615525e-11,2007-10-31,6m
4,sarima,1.164625188142566e-95,2007-10-31,6m
0,arima,9.738693514031705e-153,2007-11-30,1m
1,eakf_model1,8.942255202557365e-10,2007-11-30,1m
2,eakf_model2,1.8362775613922e-63,2007-11-30,1m
3,eakf_model3,0.9999999991057744,2007-11-30,1m
4,sarima,2.007838756509775e-71,2007-11-30,1m
0,arima,4.4e-323,2007-11-30,2m
1,eakf_model1,1.06317735872046e-07,2007-11-30,2m
2,eakf_model2,1.33e-322,2007-11-30,2m
3,eakf_model3,0.9999998936822642,2007-11-30,2m
4,sarima,1.33e-322,2007-11-30,2m
0,arima,4e-323,2007-11-30,3m
1,eakf_model1,0.9999999991506529,2007-11-30,3m
2,eakf_model2,3.34483588786492e-119,2007-11-30,3m
3,eakf_model3,8.493470855793621e-10,2007-11-30,3m
4,sarima,1.1929082187858509e-179,2007-11-30,3m
0,arima,0.0,2007-11-30,4m
1,eakf_model1,0.99999986480722,2007-11-30,4m
2,eakf_model2,7.4e-323,2007-11-30,4m
3,eakf_model3,1.351927799603226e-07,2007-11-30,4m
4,sarima,3.5e-323,2007-11-30,4m
0,arima,0.0,2007-11-30,5m
1,eakf_model1,2.274412159605126e-10,2007-11-30,5m
2,eakf_model2,1.2975987041442508e-113,2007-11-30,5m
3,eakf_model3,0.9999999997725588,2007-11-30,5m
4,sarima,1.3469019721056318e-122,2007-11-30,5m
0,arima,0.0,2007-11-30,6m
1,eakf_model1,8.903024487273522e-09,2007-11-30,6m
2,eakf_model2,3e-323,2007-11-30,6m
3,eakf_model3,0.9999999910969756,2007-11-30,6m
4,sarima,2.5e-323,2007-11-30,6m
0,arima,3.3703868005112644e-279,2007-12-31,1m
1,eakf_model1,0.8758811903711269,2007-12-31,1m
2,eakf_model2,7.873489274028146e-56,2007-12-31,1m
3,eakf_model3,0.124118809628873,2007-12-31,1m
4,sarima,2.961894801254596e-129,2007-12-31,1m
0,arima,5e-323,2007-12-31,2m
1,eakf_model1,0.999999999024318,2007-12-31,2m
2,eakf_model2,2.885563844024724e-62,2007-12-31,2m
3,eakf_model3,9.756820868338075e-10,2007-12-31,2m
4,sarima,2.2558228282836163e-194,2007-12-31,2m
0,arima,3.7372460282535354e-210,2007-12-31,3m
1,eakf_model1,0.9999999997807316,2007-12-31,3m
2,eakf_model2,4.17557381926794e-51,2007-12-31,3m
3,eakf_model3,2.1926846773436527e-10,2007-12-31,3m
4,sarima,1.9072261936847862e-147,2007-12-31,3m
0,arima,4e-323,2007-12-31,4m
1,eakf_model1,0.9999999918783448,2007-12-31,4m
2,eakf_model2,8.4e-323,2007-12-31,4m
3,eakf_model3,8.121655071219155e-09,2007-12-31,4m
4,sarima,3.5e-323,2007-12-31,4m
0,arima,6.834317508107139e-255,2007-12-31,5m
1,eakf_model1,8.64339698739822e-11,2007-12-31,5m
2,eakf_model2,1.2254709582674764e-75,2007-12-31,5m
3,eakf_model3,0.999999999913566,2007-12-31,5m
4,sarima,1.1997344054550096e-94,2007-12-31,5m
0,arima,8.104541204296829e-256,2007-12-31,6m
1,eakf_model1,6.259801531151312e-11,2007-12-31,6m
2,eakf_model2,9.41977305803218e-72,2007-12-31,6m
3,eakf_model3,0.9999999999374024,2007-12-31,6m
4,sarima,8.056977083124755e-95,2007-12-31,6m
0,arima,9.462376841838221e-176,2008-01-31,1m
1,eakf_model1,0.9999999982394854,2008-01-31,1m
2,eakf_model2,3.29324286122024e-15,2008-01-31,1m
3,eakf_model3,1.7605116146035406e-09,2008-01-31,1m
4,sarima,3.436755998007498e-35,2008-01-31,1m
0,arima,1.2847852521194822e-107,2008-01-31,2m
1,eakf_model1,0.999999999868386,2008-01-31,2m
2,eakf_model2,2.6068351607591197e-15,2008-01-31,2m
3,eakf_model3,1.316113934955807e-10,2008-01-31,2m
4,sarima,2.3797633463993422e-51,2008-01-31,2m
0,arima,3.884124790740674e-141,2008-01-31,3m
1,eakf_model1,0.999999999909682,2008-01-31,3m
2,eakf_model2,2.1796981190705333e-24,2008-01-31,3m
3,eakf_model3,9.031795211021733e-11,2008-01-31,3m
4,sarima,1.507755752699301e-98,2008-01-31,3m
0,arima,4.4e-323,2008-01-31,4m
1,eakf_model1,0.9999999990545508,2008-01-31,4m
2,eakf_model2,2.346608026928769e-116,2008-01-31,4m
3,eakf_model3,9.45449383611139e-10,2008-01-31,4m
4,sarima,4e-323,2008-01-31,4m
0,arima,2.4471772503733587e-226,2008-01-31,5m
1,eakf_model1,8.78059962937647e-11,2008-01-31,5m
2,eakf_model2,3.691147151416365e-67,2008-01-31,5m
3,eakf_model3,0.999999999912194,2008-01-31,5m
4,sarima,5.501259263685311e-115,2008-01-31,5m
0,arima,1.0363571900308333e-168,2008-01-31,6m
1,eakf_model1,2.7708994614693088e-11,2008-01-31,6m
2,eakf_model2,1.0930917842208711e-51,2008-01-31,6m
3,eakf_model3,0.999999999972291,2008-01-31,6m
4,sarima,9.02106250581185e-68,2008-01-31,6m
0,arima,3.1325816265515856e-125,2008-02-29,1m
1,eakf_model1,0.999999999581878,2008-02-29,1m
2,eakf_model2,6.1181832152410585e-16,2008-02-29,1m
3,eakf_model3,4.1812163187483926e-10,2008-02-29,1m
4,sarima,1.763501630993768e-50,2008-02-29,1m
0,arima,3.3743832049942604e-97,2008-02-29,2m
1,eakf_model1,0.9999999998782708,2008-02-29,2m
2,eakf_model2,2.78283910070423e-13,2008-02-29,2m
3,eakf_model3,1.2145110816600483e-10,2008-02-29,2m
4,sarima,8.258846269040246e-39,2008-02-29,2m
0,arima,4.597509907678064e-107,2008-02-29,3m
1,eakf_model1,0.9999999999366556,2008-02-29,3m
2,eakf_model2,9.949076131653311e-17,2008-02-29,3m
3,eakf_model3,6.334442661885885e-11,2008-02-29,3m
4,sarima,2.752025668869393e-70,2008-02-29,3m
0,arima,1.327879888917838e-241,2008-02-29,4m
1,eakf_model1,0.9999999997894434,2008-02-29,4m
2,eakf_model2,3.9166964359569134e-46,2008-02-29,4m
3,eakf_model3,2.1055664986525234e-10,2008-02-29,4m
4,sarima,1.4692237981012448e-168,2008-02-29,4m
0,arima,1.8296357789694659e-301,2008-02-29,5m
1,eakf_model1,2.2588396244956118e-10,2008-02-29,5m
2,eakf_model2,2.16231956074622e-79,2008-02-29,5m
3,eakf_model3,0.999999999774116,2008-02-29,5m
4,sarima,7.571817062602787e-191,2008-02-29,5m
0,arima,3.1266312392633837e-177,2008-02-29,6m
1,eakf_model1,4.0791011611364316e-11,2008-02-29,6m
2,eakf_model2,2.3348587777880428e-52,2008-02-29,6m
3,eakf_model3,0.9999999999592089,2008-02-29,6m
4,sarima,8.597157823197099e-94,2008-02-29,6m
0,arima,1.053000438242336e-131,2008-03-31,1m
1,eakf_model1,0.999999999598742,2008-03-31,1m
2,eakf_model2,3.2245139221694136e-18,2008-03-31,1m
3,eakf_model3,4.0125806887513255e-10,2008-03-31,1m
4,sarima,3.790800433955689e-61,2008-03-31,1m
0,arima,3.4727202592979946e-95,2008-03-31,2m
1,eakf_model1,0.999999999902466,2008-03-31,2m
2,eakf_model2,6.281074378114175e-14,2008-03-31,2m
3,eakf_model3,9.74712591244722e-11,2008-03-31,2m
4,sarima,3.071160773894e-44,2008-03-31,2m
0,arima,7.441533318411605e-120,2008-03-31,3m
1,eakf_model1,0.9999999998939546,2008-03-31,3m
2,eakf_model2,2.821314523965207e-20,2008-03-31,3m
3,eakf_model3,1.0604565299776475e-10,2008-03-31,3m
4,sarima,6.393359612205906e-74,2008-03-31,3m
0,arima,1.0873717901118698e-246,2008-03-31,4m
1,eakf_model1,0.999999999718466,2008-03-31,4m
2,eakf_model2,1.3439912754615256e-47,2008-03-31,4m
3,eakf_model3,2.815340713988057e-10,2008-03-31,4m
4,sarima,9.836549736752277e-168,2008-03-31,4m
0,arima,0.0,2008-03-31,5m
1,eakf_model1,9.941117089848182e-10,2008-03-31,5m
2,eakf_model2,7.345153590862294e-120,2008-03-31,5m
3,eakf_model3,0.9999999990058882,2008-03-31,5m
4,sarima,5.061621283e-315,2008-03-31,5m
0,arima,3.893501802220731e-234,2008-03-31,6m
1,eakf_model1,1.1499172633996417e-10,2008-03-31,6m
2,eakf_model2,9.11073386094077e-63,2008-03-31,6m
3,eakf_model3,0.9999999998850082,2008-03-31,6m
4,sarima,4.995343009966155e-133,2008-03-31,6m
0,arima,1.2472286965034923e-162,2008-04-30,1m
1,eakf_model1,0.9999999994786624,2008-04-30,1m
2,eakf_model2,3.315827777212764e-26,2008-04-30,1m
3,eakf_model3,5.21337540180453e-10,2008-04-30,1m
4,sarima,1.9315177599731894e-120,2008-04-30,1m
0,arima,2.628179475510015e-101,2008-04-30,2m
1,eakf_model1,0.9999999998967752,2008-04-30,2m
2,eakf_model2,3.669317161888758e-16,2008-04-30,2m
3,eakf_model3,1.0322459271952795e-10,2008-04-30,2m
4,sarima,5.4516681311789445e-55,2008-04-30,2m
0,arima,6.307579079124815e-116,2008-04-30,3m
1,eakf_model1,0.9999999999163192,2008-04-30,3m
2,eakf_model2,5.885051888561682e-20,2008-04-30,3m
3,eakf_model3,8.368104143760521e-11,2008-04-30,3m
4,sarima,2.1839548143127547e-75,2008-04-30,3m
0,arima,5.577441525102795e-285,2008-04-30,4m
1,eakf_model1,0.9999999995115024,2008-04-30,4m
2,eakf_model2,9.847747999366186e-59,2008-04-30,4m
3,eakf_model3,4.884977324846305e-10,2008-04-30,4m
4,sarima,3.770265787411962e-191,2008-04-30,4m
