,model_name,weigth,date_forecast,forecast_window,past_months
0,arima,1.1149316713140396e-88,2007-06-30,1m,2
1,eakf_model1,4.68882248832476e-25,2007-06-30,1m,2
2,eakf_model2,2.9579905097923183e-27,2007-06-30,1m,2
3,eakf_model3,1.4838848515388477e-12,2007-06-30,1m,2
4,sarima,0.9999999999985162,2007-06-30,1m,2
0,arima,1.2832346097235933e-71,2007-06-30,2m,2
1,eakf_model1,1.1852792064192648e-12,2007-06-30,2m,2
2,eakf_model2,2.2958994228982106e-21,2007-06-30,2m,2
3,eakf_model3,3.374519707423491e-18,2007-06-30,2m,2
4,sarima,0.9999999999988148,2007-06-30,2m,2
0,arima,1.6718539256803031e-23,2007-06-30,3m,2
1,eakf_model1,4.827688197662112e-13,2007-06-30,3m,2
2,eakf_model2,5.202493839451301e-22,2007-06-30,3m,2
3,eakf_model3,1.4519042474621769e-15,2007-06-30,3m,2
4,sarima,0.9999999999995156,2007-06-30,3m,2
0,arima,1.602454744342788e-30,2007-06-30,4m,2
1,eakf_model1,9.790677162349522e-13,2007-06-30,4m,2
2,eakf_model2,3.5109384742832063e-34,2007-06-30,4m,2
3,eakf_model3,2.0566453382899284e-14,2007-06-30,4m,2
4,sarima,0.9999999999990004,2007-06-30,4m,2
0,arima,1.5283856319815934e-182,2007-06-30,5m,2
1,eakf_model1,0.999999999703934,2007-06-30,5m,2
2,eakf_model2,7.403122368866204e-170,2007-06-30,5m,2
3,eakf_model3,2.9606609572305643e-10,2007-06-30,5m,2
4,sarima,5e-324,2007-06-30,5m,2
0,arima,7.103003041677381e-124,2007-07-31,1m,2
1,eakf_model1,2.308970873031532e-43,2007-07-31,1m,2
2,eakf_model2,5.561974845245171e-67,2007-07-31,1m,2
3,eakf_model3,0.999999999867318,2007-07-31,1m,2
4,sarima,1.3268195448083242e-10,2007-07-31,1m,2
0,arima,3.903719612928544e-188,2007-07-31,2m,2
1,eakf_model1,8.624685697291814e-20,2007-07-31,2m,2
2,eakf_model2,6.845573869035377e-32,2007-07-31,2m,2
3,eakf_model3,1.1402328404977324e-11,2007-07-31,2m,2
4,sarima,0.9999999999885978,2007-07-31,2m,2
0,arima,1.6481853293148923e-136,2007-07-31,3m,2
1,eakf_model1,2.9139916377406384e-12,2007-07-31,3m,2
2,eakf_model2,3.117722231263634e-22,2007-07-31,3m,2
3,eakf_model3,1.613661249005106e-20,2007-07-31,3m,2
4,sarima,0.999999999997086,2007-07-31,3m,2
0,arima,1.7076270691271716e-49,2007-07-31,4m,2
1,eakf_model1,1.68789178013634e-12,2007-07-31,4m,2
2,eakf_model2,3.4612109775595856e-24,2007-07-31,4m,2
3,eakf_model3,9.333536408510968e-17,2007-07-31,4m,2
4,sarima,0.999999999998312,2007-07-31,4m,2
0,arima,3.7986141742903575e-46,2007-07-31,5m,2
1,eakf_model1,2.0626287177084426e-12,2007-07-31,5m,2
2,eakf_model2,1.2403608682652693e-35,2007-07-31,5m,2
3,eakf_model3,7.515083412783591e-15,2007-07-31,5m,2
4,sarima,0.99999999999793,2007-07-31,5m,2
0,arima,2.0018891634613066e-74,2007-07-31,6m,2
1,eakf_model1,0.9999999999738208,2007-07-31,6m,2
2,eakf_model2,1.2368127623900872e-53,2007-07-31,6m,2
3,eakf_model3,2.617910040810476e-11,2007-07-31,6m,2
4,sarima,6.466831722638471e-228,2007-07-31,6m,2
0,arima,3.597526113821404e-289,2007-08-31,1m,2
1,eakf_model1,0.999999999739908,2007-08-31,1m,2
2,eakf_model2,2.600919134930322e-10,2007-08-31,1m,2
3,eakf_model3,1.613559965512652e-27,2007-08-31,1m,2
4,sarima,9.264853402813375e-223,2007-08-31,1m,2
0,arima,2.0639041361755643e-83,2007-08-31,2m,2
1,eakf_model1,1.624323460184093e-11,2007-08-31,2m,2
2,eakf_model2,4.704186990100399e-19,2007-08-31,2m,2
3,eakf_model3,0.9999999999837568,2007-08-31,2m,2
4,sarima,1.6631986480573538e-54,2007-08-31,2m,2
0,arima,0.0,2007-08-31,3m,2
1,eakf_model1,2.0410024992111864e-10,2007-08-31,3m,2
2,eakf_model2,6.151734704117689e-65,2007-08-31,3m,2
3,eakf_model3,0.9999999997958996,2007-08-31,3m,2
4,sarima,4.080178274724492e-31,2007-08-31,3m,2
0,arima,0.0,2007-08-31,4m,2
1,eakf_model1,5.4484386159619706e-11,2007-08-31,4m,2
2,eakf_model2,1.0444772630904649e-52,2007-08-31,4m,2
3,eakf_model3,4.453584394064136e-37,2007-08-31,4m,2
4,sarima,0.9999999999455156,2007-08-31,4m,2
0,arima,3.0216080254796684e-150,2007-08-31,5m,2
1,eakf_model1,1.6962418066550266e-11,2007-08-31,5m,2
2,eakf_model2,2.723626353536013e-38,2007-08-31,5m,2
3,eakf_model3,7.10182671109338e-21,2007-08-31,5m,2
4,sarima,0.9999999999830376,2007-08-31,5m,2
0,arima,3.0857899076977787e-134,2007-08-31,6m,2
1,eakf_model1,2.171623155626455e-11,2007-08-31,6m,2
2,eakf_model2,4.368081915737964e-69,2007-08-31,6m,2
3,eakf_model3,1.0089593511928027e-24,2007-08-31,6m,2
4,sarima,0.9999999999782838,2007-08-31,6m,2
0,arima,2.1443938243860325e-58,2007-09-30,1m,2
1,eakf_model1,1.1011816196742887e-16,2007-09-30,1m,2
2,eakf_model2,0.9999999999887512,2007-09-30,1m,2
3,eakf_model3,1.1248574220833036e-11,2007-09-30,1m,2
4,sarima,1.1022317910593528e-27,2007-09-30,1m,2
0,arima,2.9176158675200992e-213,2007-09-30,2m,2
1,eakf_model1,9.16810793978074e-11,2007-09-30,2m,2
2,eakf_model2,0.9999999999083188,2007-09-30,2m,2
3,eakf_model3,3.6173685201339054e-22,2007-09-30,2m,2
4,sarima,1.821427001833488e-155,2007-09-30,2m,2
0,arima,3.304662142078021e-128,2007-09-30,3m,2
1,eakf_model1,2.8979303034574422e-11,2007-09-30,3m,2
2,eakf_model2,7.525864590220454e-23,2007-09-30,3m,2
3,eakf_model3,0.9999999999710208,2007-09-30,3m,2
4,sarima,9.937254834568403e-89,2007-09-30,3m,2
0,arima,0.0,2007-09-30,4m,2
1,eakf_model1,1.0753316907401208e-10,2007-09-30,4m,2
2,eakf_model2,1.051173781597337e-72,2007-09-30,4m,2
3,eakf_model3,0.9999999998924668,2007-09-30,4m,2
4,sarima,2.509415893377288e-39,2007-09-30,4m,2
0,arima,0.0,2007-09-30,5m,2
1,eakf_model1,0.9999999999477244,2007-09-30,5m,2
2,eakf_model2,1.6415768115309822e-43,2007-09-30,5m,2
3,eakf_model3,7.994486076482359e-16,2007-09-30,5m,2
4,sarima,5.2274902285282305e-11,2007-09-30,5m,2
0,arima,0.0,2007-09-30,6m,2
1,eakf_model1,0.9999999995946028,2007-09-30,6m,2
2,eakf_model2,1.346158591254076e-99,2007-09-30,6m,2
3,eakf_model3,1.1685419117488246e-34,2007-09-30,6m,2
4,sarima,4.053971737987689e-10,2007-09-30,6m,2
0,arima,2.9279124938546927e-21,2007-10-31,1m,2
1,eakf_model1,2.105499105982264e-18,2007-10-31,1m,2
2,eakf_model2,0.9999999999979688,2007-10-31,1m,2
3,eakf_model3,4.782795845962692e-19,2007-10-31,1m,2
4,sarima,2.0311152023419797e-12,2007-10-31,1m,2
0,arima,9.157137961382129e-46,2007-10-31,2m,2
1,eakf_model1,4.2695485232640505e-12,2007-10-31,2m,2
2,eakf_model2,0.999999999995726,2007-10-31,2m,2
3,eakf_model3,4.377510489499947e-15,2007-10-31,2m,2
4,sarima,1.2702613874531828e-20,2007-10-31,2m,2
0,arima,1e-323,2007-10-31,3m,2
1,eakf_model1,1.250456939861695e-09,2007-10-31,3m,2
2,eakf_model2,0.9999999987495432,2007-10-31,3m,2
3,eakf_model3,2.6883852413882346e-29,2007-10-31,3m,2
4,sarima,2.367539311999838e-289,2007-10-31,3m,2
0,arima,2.0326968415628014e-112,2007-10-31,4m,2
1,eakf_model1,1.7020720667896625e-11,2007-10-31,4m,2
2,eakf_model2,7.833133914431835e-29,2007-10-31,4m,2
3,eakf_model3,0.9999999999829792,2007-10-31,4m,2
4,sarima,3.54542746586662e-49,2007-10-31,4m,2
0,arima,1.704156006805045e-234,2007-10-31,5m,2
1,eakf_model1,1.2571888904868384e-11,2007-10-31,5m,2
2,eakf_model2,3.910928168453977e-45,2007-10-31,5m,2
3,eakf_model3,0.999999999987351,2007-10-31,5m,2
4,sarima,7.703156058373398e-14,2007-10-31,5m,2
0,arima,0.0,2007-10-31,6m,2
1,eakf_model1,0.999999998159636,2007-10-31,6m,2
2,eakf_model2,1.4629784371188556e-232,2007-10-31,6m,2
3,eakf_model3,1.8403638005400826e-09,2007-10-31,6m,2
4,sarima,5.809045284316734e-66,2007-10-31,6m,2
0,arima,1.6765238326789082e-20,2007-11-30,1m,2
1,eakf_model1,4.880839810337473e-13,2007-11-30,1m,2
2,eakf_model2,0.9999999999995048,2007-11-30,1m,2
3,eakf_model3,7.175013691382874e-15,2007-11-30,1m,2
4,sarima,1.844439236026673e-30,2007-11-30,1m,2
0,arima,1.1434958036470408e-17,2007-11-30,2m,2
1,eakf_model1,1.7445928322540484e-12,2007-11-30,2m,2
2,eakf_model2,0.9999999999982554,2007-11-30,2m,2
3,eakf_model3,3.3766577420649134e-18,2007-11-30,2m,2
4,sarima,6.337924358378245e-53,2007-11-30,2m,2
0,arima,1.3411474180694028e-62,2007-11-30,3m,2
1,eakf_model1,1.2356788693625269e-11,2007-11-30,3m,2
2,eakf_model2,0.9999999999876428,2007-11-30,3m,2
3,eakf_model3,4.1599445208084144e-16,2007-11-30,3m,2
4,sarima,1.1483486677277535e-67,2007-11-30,3m,2
0,arima,2e-323,2007-11-30,4m,2
1,eakf_model1,5.562694186534496e-10,2007-11-30,4m,2
2,eakf_model2,1.5215589365719625e-44,2007-11-30,4m,2
3,eakf_model3,0.9999999994437304,2007-11-30,4m,2
4,sarima,7.646262226166925e-283,2007-11-30,4m,2
0,arima,1.3500307332633776e-55,2007-11-30,5m,2
1,eakf_model1,2.768791263465178e-12,2007-11-30,5m,2
2,eakf_model2,2.0511919678031973e-24,2007-11-30,5m,2
3,eakf_model3,0.9999999999972312,2007-11-30,5m,2
4,sarima,5.26413770468392e-24,2007-11-30,5m,2
