eval_horizon,mae,error,wis,type,frsct_date,method
1m,16.000000000000007,16.000000000000007,29.98894276428554,imd_incidence,2006-12-31,arima
2m,9.500000000000007,9.500000000000007,26.12152148504179,imd_incidence,2006-12-31,arima
3m,8.333333333333336,4.33333333333334,26.93961500648363,imd_incidence,2006-12-31,arima
4m,10.5,-0.9999999999999929,30.202400469128108,imd_incidence,2006-12-31,arima
5m,10.600000000000001,1.400000000000007,32.257619756145,imd_incidence,2006-12-31,arima
6m,11.333333333333336,3.6666666666666736,34.79971675723742,imd_incidence,2006-12-31,arima
1m,7.109999999999999,6.0,13.478094512195124,imd_incidence,2006-12-31,eakf_model1
2m,6.280000000000001,0.0,12.895205792682926,imd_incidence,2006-12-31,eakf_model1
3m,8.891111111111114,-5.0,16.854258130081302,imd_incidence,2006-12-31,eakf_model1
4m,13.031666666666668,-10.25,24.302183689024393,imd_incidence,2006-12-31,eakf_model1
5m,11.064666666666668,-7.6,21.594567073170733,imd_incidence,2006-12-31,eakf_model1
6m,10.450000000000001,-5.166666666666667,20.43917682926829,imd_incidence,2006-12-31,eakf_model1
1m,4.933333333333337,-6.0,11.506448170731707,imd_incidence,2006-12-31,eakf_model2
2m,11.216666666666669,-12.0,21.59102134146342,imd_incidence,2006-12-31,eakf_model2
3m,16.24666666666667,-17.166666666666668,30.377693089430895,imd_incidence,2006-12-31,eakf_model2
4m,21.42,-22.375,39.98687881097562,imd_incidence,2006-12-31,eakf_model2
5m,18.850666666666665,-19.9,35.40763109756097,imd_incidence,2006-12-31,eakf_model2
6m,16.51,-17.583333333333332,31.681526930894314,imd_incidence,2006-12-31,eakf_model2
1m,11.64,11.0,20.666432926829273,imd_incidence,2006-12-31,eakf_model3
2m,7.013333333333332,6.0,17.93685975609756,imd_incidence,2006-12-31,eakf_model3
3m,6.758888888888888,2.0,18.211194105691053,imd_incidence,2006-12-31,eakf_model3
4m,9.924166666666666,-3.75,22.44138719512195,imd_incidence,2006-12-31,eakf_model3
5m,8.794,-2.4,21.157216463414628,imd_incidence,2006-12-31,eakf_model3
6m,7.687222222222222,-1.75,20.08262703252032,imd_incidence,2006-12-31,eakf_model3
1m,328.0,328.0,,imd_incidence,2006-12-31,sarima
2m,347.50000000000017,347.50000000000017,,imd_incidence,2006-12-31,sarima
3m,395.5714285714289,395.5714285714289,,imd_incidence,2006-12-31,sarima
4m,411.28571428571456,411.28571428571456,,imd_incidence,2006-12-31,sarima
5m,389.1714285714288,389.1714285714288,,imd_incidence,2006-12-31,sarima
6m,371.3809523809526,371.3809523809526,,imd_incidence,2006-12-31,sarima
1m,13.0,-13.0,22.298172637725724,imd_incidence,2007-01-31,arima
2m,17.5,-17.5,29.61944687400645,imd_incidence,2007-01-31,arima
3m,22.666666666666668,-22.666666666666668,38.03425033865229,imd_incidence,2007-01-31,arima
4m,18.25,-18.25,34.73917401463178,imd_incidence,2007-01-31,arima
5m,14.8,-14.8,33.29260840700117,imd_incidence,2007-01-31,arima
6m,13.666666666666666,-13.666666666666666,33.203821003612916,imd_incidence,2007-01-31,arima
