eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
1m,3.3033333333274513,-3.9999999999924896,10.927987804873927,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
2m,3.14999999999824,-0.4999999999953033,10.53788109756038,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
3m,3.6744444444435067,1.0000000000037588,10.908887195122148,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
4m,4.638333333334931,2.5000000000051656,11.778517530491174,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
5m,5.274000000004811,3.4000000000075117,12.375679878056756,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
6m,4.763888888888005,2.250000000011424,12.125289634151793,imd_incidence,2022-04-30,2_past_ens,1m,2007-06-30,wis,2_past_ens
1m,0.7999999999161176,0.9999999998980016,8.3573018292876,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
2m,2.5033333332792154,2.4999999999389146,9.501318597565287,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
3m,3.4755555555146693,3.3333333332858857,10.423495934958204,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
4m,5.048333333292151,4.749999999955186,12.232469512177481,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
5m,7.089333333270838,6.799999999932105,15.046786585298653,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
6m,7.613333333240019,7.166666666568829,15.437200203137927,imd_incidence,2022-04-30,2_past_ens,2m,2007-06-30,wis,2_past_ens
1m,0.7999999998855571,0.9999999998605489,8.357301829292236,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
2m,2.503333333259235,2.499999999916323,9.501318597564644,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
3m,3.4755555554996818,3.3333333332682478,10.423495934956057,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
4m,5.048333333275833,4.7499999999372395,12.232469512167798,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
5m,7.089333333245851,6.799999999905168,15.046786585269288,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
6m,7.613333333202575,7.166666666529537,15.437200203089654,imd_incidence,2022-04-30,2_past_ens,3m,2007-06-30,wis,2_past_ens
1m,0.7999999997175422,0.9999999996558202,8.357301829327385,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
2m,2.503333333150458,2.4999999997934914,9.501318597570037,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
3m,3.4755555554176545,3.3333333331727153,10.423495934951235,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
4m,5.048333333191419,4.7499999998451194,12.232469512127691,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
5m,7.089333333117421,6.79999999976596,15.046786585127524,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
6m,7.613333333010611,7.166666666328227,15.43720020285127,imd_incidence,2022-04-30,2_past_ens,4m,2007-06-30,wis,2_past_ens
1m,0.018266634247666502,0.0029244911685779584,8.52849787021603,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
2m,1.991820513888559,1.9017546947011432,9.527578465801946,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
3m,3.088238391182202,2.868031429211998,10.399992717045373,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
4m,4.6463391823156694,4.301316021025855,12.037130108564394,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
5m,6.471141284492148,6.121988653994629,14.376163579430882,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
6m,6.684497742634954,6.186209082982433,14.34115278287547,imd_incidence,2022-04-30,2_past_ens,5m,2007-06-30,wis,2_past_ens
1m,1.2633333333620698,1.0000000000209184,9.574984756102214,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
2m,3.0650000000213637,3.000000000015369,10.520396341473482,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
3m,5.297777777795386,5.000000000013945,12.797718495946267,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
4m,7.110000000018651,6.75000000001601,14.834336890263051,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
5m,6.369333333363867,6.0000000000277085,14.027640243927747,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
6m,10.883888888934104,10.500000000041057,22.114748475668492,imd_incidence,2022-04-30,2_past_ens,1m,2007-07-31,wis,2_past_ens
1m,1.2633333333576786,1.0000000000191633,9.574984756098406,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
2m,3.065000000012059,3.0000000000095817,10.520396341468862,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
3m,5.29777777779015,5.000000000012776,12.797718495946064,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
4m,7.110000000019493,6.750000000019162,14.834336890272159,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
5m,6.369333333367237,6.000000000032577,14.027640243938416,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
6m,10.883888888940646,10.500000000051104,22.11474847568476,imd_incidence,2022-04-30,2_past_ens,2m,2007-07-31,wis,2_past_ens
1m,4.023333333327521,2.999999999999517,10.62833841462259,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
2m,5.158333333313294,4.4999999999879385,11.801493902427689,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
3m,7.0066666666564785,6.3333333333330115,14.113465447155011,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
4m,8.876666666672499,8.250000000011337,16.820133384172923,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
5m,9.248000000014732,8.600000000018094,17.155091463451036,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
6m,15.13611111113697,14.333333333367511,28.248056402495916,imd_incidence,2022-04-30,2_past_ens,3m,2007-07-31,wis,2_past_ens
1m,4.023333333287937,2.999999999967109,10.628338414607397,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
2m,5.158333333298906,4.49999999997533,11.801493902413243,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
3m,7.006666666638561,6.333333333311404,14.113465447129157,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
4m,8.876666666637611,8.24999999997533,16.820133384110527,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
5m,9.247999999952652,8.599999999957237,17.155091463351685,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
6m,15.136111111041169,14.333333333270284,28.248056402328558,imd_incidence,2022-04-30,2_past_ens,4m,2007-07-31,wis,2_past_ens
1m,4.023333333125912,2.999999999849692,10.628338414511903,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
2m,5.15833333317601,4.499999999887269,11.801493902321205,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
3m,7.006666666538237,6.333333333233128,14.113465447038783,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
4m,8.876666666533893,8.249999999887269,16.82013338398266,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
5m,9.24799999978365,8.599999999804595,17.15509146312698,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
6m,15.13611111079153,14.333333333045237,28.24805640193422,imd_incidence,2022-04-30,2_past_ens,5m,2007-07-31,wis,2_past_ens
1m,4.023333332941483,2.999999999716046,10.62833841440322,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
2m,5.158333333036136,4.499999999787036,11.801493902216452,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
3m,7.00666666642405,6.333333333144033,14.113465446935926,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
4m,8.876666666415847,8.249999999787038,16.82013338383714,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
5m,9.247999999591302,8.599999999630866,17.155091462871233,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
6m,15.1361111105074,14.333333332789095,28.248056401485435,imd_incidence,2022-04-30,2_past_ens,6m,2007-07-31,wis,2_past_ens
1m,4.533333333269773,3.999999999940229,10.60996951218048,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
2m,7.098333333261028,6.499999999941842,13.68400152433164,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
3m,9.395555555488258,8.999999999932058,17.29552845520953,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
4m,9.307499999948083,8.749999999949043,16.898917682872494,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
5m,16.347333333293836,15.799999999964456,30.338435975566274,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
6m,13.97277777773892,12.66666666664041,27.023630589406846,imd_incidence,2022-04-30,2_past_ens,1m,2007-08-31,wis,2_past_ens
1m,4.070000000010111,4.000000000000007,11.094512195111387,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
2m,7.629999999988403,7.999999999967283,15.42876524386438,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
3m,10.366666666645486,10.666666666630313,19.416712398327714,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
4m,9.803333333322522,9.999999999972736,18.4610175304532,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
5m,15.91733333334272,16.099999999993464,29.791527439035907,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
6m,15.20111111108431,11.416666666693947,28.211920731665714,imd_incidence,2022-04-30,2_past_ens,2m,2007-08-31,wis,2_past_ens
1m,4.069999999977803,3.9999999999711235,11.09451219510848,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
2m,7.629999999955331,7.9999999999443965,15.428765243843378,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
3m,10.366666666616355,10.666666666603282,19.416712398299673,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
4m,9.803333333299166,9.999999999952461,18.461017530433814,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
5m,15.917333333322144,16.09999999997733,29.791527439014146,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
6m,15.201111111069816,11.41666666667691,28.211920731653393,imd_incidence,2022-04-30,2_past_ens,3m,2007-08-31,wis,2_past_ens
1m,4.533333333321963,3.9999999999951754,10.609969512200468,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
2m,7.098333333334661,6.500000000015515,13.68400152440902,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
3m,9.395555555563211,9.00000000001697,17.295528455307075,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
4m,9.307500000002493,8.750000000012728,16.898917682943164,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
5m,16.347333333324354,15.800000000001171,30.33843597559861,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
6m,13.972777777791194,12.666666666647705,27.023630589434084,imd_incidence,2022-04-30,2_past_ens,4m,2007-08-31,wis,2_past_ens
1m,4.53333333332273,4.0,10.609969512206202,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
2m,7.09833333334549,6.500000000034312,13.684001524430155,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
3m,9.395555555577767,9.000000000038126,17.295528455333077,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
4m,9.30750000001134,8.750000000028594,16.898917682962004,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
5m,16.347333333323494,15.800000000006861,30.338435975596795,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
6m,13.972777777805874,12.66666666663807,27.02363058943985,imd_incidence,2022-04-30,2_past_ens,5m,2007-08-31,wis,2_past_ens
1m,4.533333333326162,4.0,10.609969512202616,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
2m,7.098333333341557,6.50000000002321,13.684001524417239,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
3m,9.39555555557058,9.000000000025787,17.295528455317374,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
4m,9.30750000000767,8.750000000019341,16.898917682950625,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
5m,16.34733333332668,15.80000000000464,30.338435975600994,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
6m,13.972777777796786,12.666666666647323,27.023630589436944,imd_incidence,2022-04-30,2_past_ens,6m,2007-08-31,wis,2_past_ens
1m,4.400000098577664,3.0000001154305167,9.649664749737688,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
2m,7.1366667749020145,6.000000126973575,13.356173938376342,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
3m,6.581111231415359,5.333333479545328,12.858836537423471,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
4m,15.399166772324064,14.50000012120205,29.361497857428986,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
5m,13.055333426785875,10.60000009465303,25.93790561225017,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
6m,20.3572223326764,-0.6666666224182988,39.70515006613365,imd_incidence,2022-04-30,2_past_ens,1m,2007-09-30,wis,2_past_ens
1m,8.669999999903403,8.0,15.859070117694822,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
2m,11.82499998861821,11.499999985511163,20.845289612380405,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
3m,11.79222220347259,11.666666644128476,20.539903422978668,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
4m,19.97583331421611,19.74999997705934,36.31488182778553,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
5m,17.10333331650052,14.699999982613395,31.900585335612934,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
6m,25.141666640543832,1.249999997585192,47.44867373122555,imd_incidence,2022-04-30,2_past_ens,2m,2007-09-30,wis,2_past_ens
1m,8.669999999999696,8.000000000000007,15.859070121937659,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
2m,11.82499999996373,11.499999999953832,20.84528963407698,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
3m,11.79222222216247,11.666666666594844,20.5399034551816,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
4m,19.975833333272405,19.749999999926892,36.314881859654214,imd_incidence,2022-04-30,2_past_ens,3m,2007-09-30,wis,2_past_ens
