eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
1m,1.204708066877771,-1.4427799352694137,9.100472487002717,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
2m,2.410110994604622,1.034332038838354,9.727528730280449,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
3m,3.2999537727427914,2.1933693635409433,10.473830952768044,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
4m,4.643447773462798,3.650749029128768,11.846193968489068,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
5m,6.038779280692094,5.138909644016801,13.508797746121598,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
6m,5.724389369654965,4.764599730318409,13.107158230803524,imd_incidence,2022-04-30,all_past_ens,1m,2007-06-30,wis,all_past_ens
1m,0.7999999999033847,0.9999999998822773,8.357301829288504,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
2m,2.5033333332707777,2.499999999929365,9.501318597564072,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
3m,3.475555555508386,3.3333333332783943,10.423495934956573,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
4m,5.0483333332847895,4.749999999947024,12.232469512172058,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
5m,7.0893333332594795,6.799999999919949,15.046786585284334,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
6m,7.613333333222947,7.166666666550906,15.437200203114955,imd_incidence,2022-04-30,all_past_ens,2m,2007-06-30,wis,all_past_ens
1m,0.7999999997522309,0.9999999996980975,8.357301829320129,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
2m,2.503333333172918,2.4999999998188613,9.501318597568924,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
3m,3.475555555434591,3.3333333331924493,10.423495934952234,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
4m,5.048333333208847,4.749999999864148,12.232469512135975,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
5m,7.089333333143938,6.79999999979471,15.046786585156799,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
6m,7.613333333050246,7.166666666369799,15.437200202900492,imd_incidence,2022-04-30,all_past_ens,3m,2007-06-30,wis,all_past_ens
1m,0.7999999770010575,0.9999999719752992,8.357301834080081,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
2m,2.5033333184428734,2.4999999831851767,9.501318598299056,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
3m,3.475555544326989,3.333333320255136,10.423495934298746,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
4m,5.048333321777813,4.7499999873888825,12.232469506704732,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
5m,7.089333315752505,6.799999980943203,15.046786565959726,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
6m,7.613333307055508,7.166666639109046,15.437200170619665,imd_incidence,2022-04-30,all_past_ens,4m,2007-06-30,wis,all_past_ens
