eval_horizon,mae,error,wis,type,frsct_date,method
1m,7.45333333333334,7.0,15.199520967738142,imd_incidence,2006-12-31,equal_weights_ensemble
2m,6.030000000000005,0.875,15.281492592903948,imd_incidence,2006-12-31,equal_weights_ensemble
3m,8.423333333333334,-4.208333333333333,18.54572404006945,imd_incidence,2006-12-31,equal_weights_ensemble
4m,12.51875,-9.53125,24.616661303876548,imd_incidence,2006-12-31,equal_weights_ensemble
5m,10.507833333333334,-7.275,23.371868635936234,imd_incidence,2006-12-31,equal_weights_ensemble
6m,9.585694444444446,-5.3125,22.806381952180917,imd_incidence,2006-12-31,equal_weights_ensemble
1m,10.570833333333333,-10.75,18.593796208211916,imd_incidence,2007-01-31,equal_weights_ensemble
2m,14.897083333333338,-15.3125,25.897191068372408,imd_incidence,2007-01-31,equal_weights_ensemble
3m,19.94166666666667,-20.25,34.7587319996996,imd_incidence,2007-01-31,equal_weights_ensemble
4m,15.541875000000003,-15.8125,29.670753903583492,imd_incidence,2007-01-31,equal_weights_ensemble
5m,12.583500000000003,-12.575,26.806101061934626,imd_incidence,2007-01-31,equal_weights_ensemble
6m,11.651805555555557,-11.770833333333334,25.51805475846917,imd_incidence,2007-01-31,equal_weights_ensemble
1m,15.79,-16.0,27.741734124370332,imd_incidence,2007-02-28,equal_weights_ensemble
2m,21.05708333333333,-21.25,36.72890865673664,imd_incidence,2007-02-28,equal_weights_ensemble
3m,14.684999999999997,-13.666666666666666,29.55815670559936,imd_incidence,2007-02-28,equal_weights_ensemble
4m,12.474999999999998,-8.9375,26.763993746054467,imd_incidence,2007-02-28,equal_weights_ensemble
5m,10.316666666666666,-7.575,25.078354522637184,imd_incidence,2007-02-28,equal_weights_ensemble
6m,8.844999999999999,-6.145833333333333,24.118841780704326,imd_incidence,2007-02-28,equal_weights_ensemble
1m,22.123333333333335,-22.25,38.48193306771144,imd_incidence,2007-03-31,equal_weights_ensemble
2m,14.517083333333332,-7.75,27.802799036560668,imd_incidence,2007-03-31,equal_weights_ensemble
3m,13.419166666666664,-1.6666666666666667,26.225706378780988,imd_incidence,2007-03-31,equal_weights_ensemble
4m,11.105624999999998,-0.375,24.343337691543365,imd_incidence,2007-03-31,equal_weights_ensemble
5m,10.41583333333333,1.1,23.92754436223541,imd_incidence,2007-03-31,equal_weights_ensemble
6m,10.002777777777775,2.125,23.910388907391553,imd_incidence,2007-03-31,equal_weights_ensemble
1m,10.01833333333333,9.75,19.233379632270687,imd_incidence,2007-04-30,equal_weights_ensemble
2m,12.46541666666667,12.0625,23.4690456256604,imd_incidence,2007-04-30,equal_weights_ensemble
3m,11.245000000000005,10.791666666666666,22.759875684943356,imd_incidence,2007-04-30,equal_weights_ensemble
4m,11.689791666666672,11.28125,23.919662829363823,imd_incidence,2007-04-30,equal_weights_ensemble
5m,12.025833333333338,11.625,25.012344609186293,imd_incidence,2007-04-30,equal_weights_ensemble
6m,12.87041666666667,12.4375,26.697297577837446,imd_incidence,2007-04-30,equal_weights_ensemble
1m,6.601666666666667,6.375,14.22349225192108,imd_incidence,2007-05-31,equal_weights_ensemble
2m,3.5437499999999993,3.3125,13.456340036425107,imd_incidence,2007-05-31,equal_weights_ensemble
3m,4.168055555555552,3.7916666666666665,14.221009588768068,imd_incidence,2007-05-31,equal_weights_ensemble
4m,4.707499999999998,4.21875,15.17418442924306,imd_incidence,2007-05-31,equal_weights_ensemble
5m,5.9334999999999996,5.525,16.845355532824133,imd_incidence,2007-05-31,equal_weights_ensemble
6m,7.247916666666666,6.8125,18.737963018654135,imd_incidence,2007-05-31,equal_weights_ensemble
1m,2.4183333333333366,-2.5,10.517706784623758,imd_incidence,2007-06-30,equal_weights_ensemble
2m,2.2662499999999994,-0.25,11.271516213658822,imd_incidence,2007-06-30,equal_weights_ensemble
3m,2.6144444444444446,0.8333333333333334,12.158719989107142,imd_incidence,2007-06-30,equal_weights_ensemble
4m,4.0060416666666665,2.5625,13.770327594045925,imd_incidence,2007-06-30,equal_weights_ensemble
5m,5.5695,4.3,15.782867325025201,imd_incidence,2007-06-30,equal_weights_ensemble
6m,5.617916666666665,4.4375,16.215410571067736,imd_incidence,2007-06-30,equal_weights_ensemble
1m,3.272500000000001,2.75,11.209776834060621,imd_incidence,2007-07-31,equal_weights_ensemble
2m,4.261666666666667,4.0,12.847465548970419,imd_incidence,2007-07-31,equal_weights_ensemble
3m,6.306666666666665,6.0,15.517444989823487,imd_incidence,2007-07-31,equal_weights_ensemble
4m,8.34520833333333,8.0,18.469114737456895,imd_incidence,2007-07-31,equal_weights_ensemble
5m,8.481166666666663,8.1,18.980875234706758,imd_incidence,2007-07-31,equal_weights_ensemble
6m,14.15958333333333,13.75,29.610682937453902,imd_incidence,2007-07-31,equal_weights_ensemble
1m,3.0066666666666677,2.75,10.984262199254035,imd_incidence,2007-08-31,equal_weights_ensemble
2m,5.722083333333334,5.625,13.994879061387795,imd_incidence,2007-08-31,equal_weights_ensemble
3m,8.134444444444446,8.0,17.39651112193818,imd_incidence,2007-08-31,equal_weights_ensemble
4m,8.040833333333335,7.8125,17.542036100372247,imd_incidence,2007-08-31,equal_weights_ensemble
5m,14.9265,14.725,30.355061363844833,imd_incidence,2007-08-31,equal_weights_ensemble
6m,13.325555555555558,11.270833333333334,28.37661931505259,imd_incidence,2007-08-31,equal_weights_ensemble
1m,6.6825000000000045,6.0,13.305885844415734,imd_incidence,2007-09-30,equal_weights_ensemble
2m,9.152083333333334,8.625,17.161454254036943,imd_incidence,2007-09-30,equal_weights_ensemble
3m,8.55611111111111,8.083333333333334,16.83555155410859,imd_incidence,2007-09-30,equal_weights_ensemble
4m,16.905416666666667,16.46875,32.72041659296306,imd_incidence,2007-09-30,equal_weights_ensemble
5m,14.629833333333334,12.0,29.619114586590126,imd_incidence,2007-09-30,equal_weights_ensemble
6m,22.275694444444444,-0.14583333333333334,42.94574604612692,imd_incidence,2007-09-30,equal_weights_ensemble
1m,11.86355424163817,11.900220908304831,20.797500950113985,imd_incidence,2007-10-31,equal_weights_ensemble
2m,10.698006127335177,10.495922794001842,19.139781191126115,imd_incidence,2007-10-31,equal_weights_ensemble
3m,21.29889651535579,21.038340959800227,39.584054834252974,imd_incidence,2007-10-31,equal_weights_ensemble
4m,17.183736108938234,14.358983664095444,32.96751509963231,imd_incidence,2007-10-31,equal_weights_ensemble
5m,25.560177312485866,-0.42000149405892556,48.63741123181173,imd_incidence,2007-10-31,equal_weights_ensemble
6m,21.73425194923182,0.0249362771111592,42.52611230973605,imd_incidence,2007-10-31,equal_weights_ensemble
