,model_name,weigth,date_forecast,forecast_window
0,arima,3.0157320194537403e-71,2007-06-30,1m
1,eakf_model1,0.9999999999768178,2007-06-30,1m
2,eakf_model2,9.307176541441645e-50,2007-06-30,1m
3,eakf_model3,2.3182346783205734e-11,2007-06-30,1m
0,arima,9.362352002309492e-103,2007-06-30,2m
1,eakf_model1,0.999999999975114,2007-06-30,2m
2,eakf_model2,1.813111090175926e-87,2007-06-30,2m
3,eakf_model3,2.488613599810025e-11,2007-06-30,2m
0,arima,2e-323,2007-06-30,3m
1,eakf_model1,0.9999999979493884,2007-06-30,3m
2,eakf_model2,0.0,2007-06-30,3m
3,eakf_model3,2.050611569304143e-09,2007-06-30,3m
0,arima,1.925873358533702e-83,2007-06-30,4m
1,eakf_model1,8.485400206069202e-11,2007-06-30,4m
2,eakf_model2,1.3469746978116043e-194,2007-06-30,4m
3,eakf_model3,0.999999999915146,2007-06-30,4m
0,arima,3.749656166743672e-161,2007-06-30,5m
1,eakf_model1,9.80413053761912e-11,2007-06-30,5m
2,eakf_model2,1.098579953767298e-172,2007-06-30,5m
3,eakf_model3,0.9999999999019586,2007-06-30,5m
0,arima,7.718767053958226e-262,2007-06-30,6m
1,eakf_model1,9.691658028931948e-11,2007-06-30,6m
2,eakf_model2,3.638409186861446e-162,2007-06-30,6m
3,eakf_model3,0.9999999999030834,2007-06-30,6m
0,arima,8.892814526644726e-65,2007-07-31,1m
1,eakf_model1,0.9999999999850444,2007-07-31,1m
2,eakf_model2,3.777924412376479e-38,2007-07-31,1m
3,eakf_model3,1.4955782793786472e-11,2007-07-31,1m
0,arima,3.898940827132433e-68,2007-07-31,2m
1,eakf_model1,0.9999999999854792,2007-07-31,2m
2,eakf_model2,6.456910660294871e-43,2007-07-31,2m
3,eakf_model3,1.4520928917310727e-11,2007-07-31,2m
0,arima,3.861883868549269e-198,2007-07-31,3m
1,eakf_model1,0.9999999998811931,2007-07-31,3m
2,eakf_model2,1.5095833793579201e-148,2007-07-31,3m
3,eakf_model3,1.1880684208171102e-10,2007-07-31,3m
0,arima,0.0,2007-07-31,4m
1,eakf_model1,0.9999998734440572,2007-07-31,4m
2,eakf_model2,0.0,2007-07-31,4m
3,eakf_model3,1.2655594271281924e-07,2007-07-31,4m
0,arima,3e-323,2007-07-31,5m
1,eakf_model1,6.335326553507494e-10,2007-07-31,5m
2,eakf_model2,1.5e-323,2007-07-31,5m
3,eakf_model3,0.9999999993664672,2007-07-31,5m
0,arima,1e-323,2007-07-31,6m
1,eakf_model1,0.9999999994057982,2007-07-31,6m
2,eakf_model2,2e-323,2007-07-31,6m
3,eakf_model3,5.94201779305301e-10,2007-07-31,6m
0,arima,1.2035625054162734e-132,2007-08-31,1m
1,eakf_model1,0.9999999999220062,2007-08-31,1m
2,eakf_model2,7.504280793190346e-63,2007-08-31,1m
3,eakf_model3,7.799391069828142e-11,2007-08-31,1m
0,arima,2.0206146407376328e-77,2007-08-31,2m
1,eakf_model1,0.9999999999833188,2007-08-31,2m
2,eakf_model2,1.681193593552475e-40,2007-08-31,2m
3,eakf_model3,1.6681396908357044e-11,2007-08-31,2m
0,arima,1.6707782147820766e-104,2007-08-31,3m
1,eakf_model1,0.999999999971988,2007-08-31,3m
2,eakf_model2,1.8622828479249097e-55,2007-08-31,3m
3,eakf_model3,2.801199111341618e-11,2007-08-31,3m
0,arima,4.513775594580323e-285,2007-08-31,4m
1,eakf_model1,0.9999999998271728,2007-08-31,4m
2,eakf_model2,1.1133192323386388e-167,2007-08-31,4m
3,eakf_model3,1.7282733337929482e-10,2007-08-31,4m
0,arima,0.0,2007-08-31,5m
1,eakf_model1,0.9999999995999644,2007-08-31,5m
2,eakf_model2,3.696024319640595e-253,2007-08-31,5m
3,eakf_model3,4.0003564113660547e-10,2007-08-31,5m
0,arima,4.9557152479632186e-210,2007-08-31,6m
1,eakf_model1,0.9999999999145875,2007-08-31,6m
2,eakf_model2,3.446857765715987e-142,2007-08-31,6m
3,eakf_model3,8.541227510066043e-11,2007-08-31,6m
0,arima,3.3977474801326768e-264,2007-09-30,1m
1,eakf_model1,0.9999999995515731,2007-09-30,1m
2,eakf_model2,4.5516316278862214e-117,2007-09-30,1m
3,eakf_model3,4.4842657371185176e-10,2007-09-30,1m
0,arima,1.416417279756296e-186,2007-09-30,2m
1,eakf_model1,0.999999999887461,2007-09-30,2m
2,eakf_model2,2.4791369164674163e-76,2007-09-30,2m
3,eakf_model3,1.1253902561182804e-10,2007-09-30,2m
0,arima,9.57769254678808e-130,2007-09-30,3m
1,eakf_model1,0.9999999999600346,2007-09-30,3m
2,eakf_model2,1.046366691084308e-57,2007-09-30,3m
3,eakf_model3,3.9965603159790066e-11,2007-09-30,3m
0,arima,1.0309159549961472e-141,2007-09-30,4m
1,eakf_model1,0.9999999999662772,2007-09-30,4m
2,eakf_model2,2.04697167466042e-59,2007-09-30,4m
3,eakf_model3,3.372293481368288e-11,2007-09-30,4m
0,arima,1.90037096403e-313,2007-09-30,5m
1,eakf_model1,0.999999999900889,2007-09-30,5m
2,eakf_model2,6.325402401905251e-116,2007-09-30,5m
3,eakf_model3,9.9111183547213e-11,2007-09-30,5m
0,arima,9.266171057656844e-208,2007-09-30,6m
1,eakf_model1,0.9999999999545102,2007-09-30,6m
2,eakf_model2,9.269897785924086e-88,2007-09-30,6m
3,eakf_model3,4.548982602987132e-11,2007-09-30,6m
0,arima,4e-323,2007-10-31,1m
1,eakf_model1,1.1157685248388939e-09,2007-10-31,1m
2,eakf_model2,4.3809964682799845e-140,2007-10-31,1m
3,eakf_model3,0.9999999988842314,2007-10-31,1m
0,arima,4e-323,2007-10-31,2m
1,eakf_model1,0.9999999861416096,2007-10-31,2m
2,eakf_model2,7e-323,2007-10-31,2m
3,eakf_model3,1.385839043476284e-08,2007-10-31,2m
0,arima,0.0,2007-10-31,3m
1,eakf_model1,0.9999999982594484,2007-10-31,3m
2,eakf_model2,3.725223506810852e-252,2007-10-31,3m
3,eakf_model3,1.740551476140224e-09,2007-10-31,3m
0,arima,4.904878306020632e-215,2007-10-31,4m
1,eakf_model1,0.9999999999141548,2007-10-31,4m
2,eakf_model2,3.718160932026434e-80,2007-10-31,4m
3,eakf_model3,8.584557112176436e-11,2007-10-31,4m
0,arima,3.722753030455281e-214,2007-10-31,5m
1,eakf_model1,0.9999999999582184,2007-10-31,5m
2,eakf_model2,1.3897044169940793e-59,2007-10-31,5m
3,eakf_model3,4.1781629896798246e-11,2007-10-31,5m
0,arima,5.276898911859054e-282,2007-10-31,6m
1,eakf_model1,0.9999999999546166,2007-10-31,6m
2,eakf_model2,9.304609166973536e-77,2007-10-31,6m
3,eakf_model3,4.538327763123248e-11,2007-10-31,6m
0,arima,9.133403666930307e-195,2007-11-30,1m
1,eakf_model1,1.9086473590154195e-10,2007-11-30,1m
2,eakf_model2,8.071420026959511e-63,2007-11-30,1m
3,eakf_model3,0.9999999998091352,2007-11-30,1m
0,arima,1.4674e-320,2007-11-30,2m
1,eakf_model1,6.162952876129957e-10,2007-11-30,2m
2,eakf_model2,2.937971805280913e-116,2007-11-30,2m
3,eakf_model3,0.9999999993837048,2007-11-30,2m
0,arima,4e-323,2007-11-30,3m
1,eakf_model1,6.445651694676123e-07,2007-11-30,3m
2,eakf_model2,4.4e-323,2007-11-30,3m
