,model_name,weigth,date_forecast,forecast_window,past_months
0,arima,5.972520454727838e-75,2007-06-30,1m,2
1,eakf_model1,1.923108268636213e-19,2007-06-30,1m,2
2,eakf_model2,1.878376788073909e-12,2007-06-30,1m,2
3,eakf_model3,0.9999999999981216,2007-06-30,1m,2
0,arima,2.1004500006161885e-161,2007-06-30,2m,2
1,eakf_model1,0.9999999999786872,2007-06-30,2m,2
2,eakf_model2,1.1430636326854617e-12,2007-06-30,2m,2
3,eakf_model3,2.0169620415059958e-11,2007-06-30,2m,2
0,arima,9.295297782889441e-51,2007-06-30,3m,2
1,eakf_model1,0.9999999999721104,2007-06-30,3m,2
2,eakf_model2,7.776930482485804e-48,2007-06-30,3m,2
3,eakf_model3,2.7889539911128157e-11,2007-06-30,3m,2
0,arima,3.399759864341034e-101,2007-06-30,4m,2
1,eakf_model1,0.9999999999311652,2007-06-30,4m,2
2,eakf_model2,3.0109674867118314e-133,2007-06-30,4m,2
3,eakf_model3,6.883493513999675e-11,2007-06-30,4m,2
0,arima,2e-323,2007-06-30,5m,2
1,eakf_model1,0.8005848982337165,2007-06-30,5m,2
2,eakf_model2,2e-323,2007-06-30,5m,2
3,eakf_model3,0.1994151017662833,2007-06-30,5m,2
0,arima,5.898885545831644e-51,2007-07-31,1m,2
1,eakf_model1,9.81904056410944e-12,2007-07-31,1m,2
2,eakf_model2,6.408364222402705e-13,2007-07-31,1m,2
3,eakf_model3,0.99999999998954,2007-07-31,1m,2
0,arima,3.1456125007482713e-182,2007-07-31,2m,2
1,eakf_model1,2.956924485261912e-15,2007-07-31,2m,2
2,eakf_model2,9.580616475372366e-12,2007-07-31,2m,2
3,eakf_model3,0.9999999999904164,2007-07-31,2m,2
0,arima,1.5331776539452914e-274,2007-07-31,3m,2
1,eakf_model1,0.9999999999763642,2007-07-31,3m,2
2,eakf_model2,2.339673878159055e-11,2007-07-31,3m,2
3,eakf_model3,2.389214501792956e-13,2007-07-31,3m,2
0,arima,1.2652664612673933e-91,2007-07-31,4m,2
1,eakf_model1,0.9999999999835516,2007-07-31,4m,2
2,eakf_model2,3.118314260866964e-33,2007-07-31,4m,2
3,eakf_model3,1.644847681601746e-11,2007-07-31,4m,2
0,arima,5.663300300346373e-158,2007-07-31,5m,2
1,eakf_model1,0.9999999999248432,2007-07-31,5m,2
2,eakf_model2,2.0157662177330636e-120,2007-07-31,5m,2
3,eakf_model3,7.515680504013368e-11,2007-07-31,5m,2
0,arima,1.1995329436096072e-286,2007-07-31,6m,2
1,eakf_model1,0.9999999998580248,2007-07-31,6m,2
